-62,-62
-55,-55
-59,-55
-56,-55
-55,-55
-59,-56
-60,-57
-58,-57
-55,-56
-54,-56
-58,-56
-56,-56
-55,-56
-59,-56
-56,-56
-56,-56
-33,-51
-55,-52
-59,-53
-60,-54
-56,-55
-56,-55
-60,-56
-55,-56
-56,-56
-58,-56
-54,-55
-60,-56
-60,-57
-55,-56
-55,-56
-58,-56
-55,-56
-60,-57
-56,-56
-55,-56
-55,-56
-59,-56
-55,-56
-55,-56
-60,-56
-59,-57
-55,-56
-55,-56
-55,-56
-59,-56
-55,-56
-55,-56
-56,-56
-59,-56
-59,-57
-55,-56
-55,-56
-55,-56
-59,-56
-55,-56
-60,-57
-60,-57
-55,-57
-55,-56
-59,-57
-55,-56
-55,-56
-59,-56
-55,-56
-56,-56
-59,-56
-58,-57
-55,-56
-55,-56
-59,-56
-55,-56
-55,-56
-55,-55
-55,-55
-55,-55
-55,-55
-59,-56
-56,-56
-56,-56
-55,-55
-59,-56
-58,-56
-55,-56
-56,-56
-55,-56
-58,-56
-56,-56
-58,-56
-55,-56
-56,-56
-55,-56
-59,-56
-60,-57
-55,-56
-54,-56
-54,-55
-60,-56
-59,-57
-55,-56
-61,-57
-56,-57
-65,-58
-55,-58
-60,-58
-55,-57
-55,-57
-60,-57
-60,-58
-55,-57
-55,-57
-62,-58
-56,-57
-59,-57
-56,-57
-55,-57
-55,-56
-59,-57
-59,-57
-55,-56
-55,-56
-60,-57
-56,-57
-55,-56
-60,-57
-59,-57
-56,-57
-56,-57
-55,-56
-54,-56
-59,-56
-59,-57
-55,-56
-55,-56
-59,-56
-59,-57
-55,-56
-56,-56
-55,-56
-59,-56
-60,-57
-55,-57
-59,-57
-56,-57
-55,-56
-59,-57
-59,-57
-55,-57
-55,-56
-59,-57
-56,-56
-55,-56
-56,-56
-56,-56
-54,-55
-59,-56
-59,-56
-56,-56
-56,-56
-55,-56
-59,-56
-55,-56
-55,-56
-55,-55
-58,-56
-55,-56
-55,-55
-59,-56
-56,-56
-56,-56
-59,-56
-60,-57
-55,-56
-55,-56
-59,-57
-59,-57
-55,-56
-55,-56
-59,-57
-59,-57
-55,-56
-55,-56
-60,-57
-56,-57
-56,-56
-54,-56
-60,-56
-56,-56
-60,-57
-56,-57
-56,-56
-59,-57
-59,-57
-56,-57
-54,-56
-55,-56
-55,-56
-56,-56
-55,-55
-56,-55
-56,-55
-60,-56
-55,-56
-61,-57
-61,-58
-55,-57
-55,-56
-63,-58
-59,-58
-55,-57
-55,-57
-56,-56
-56,-56
-55,-56
-55,-56
-55,-55
-60,-56
-56,-56
-55,-56
-55,-56
-59,-56
-59,-57
-55,-56
-55,-56
-55,-56
-59,-56
-55,-56
-61,-57
-56,-57
-56,-56
-55,-56
-55,-56
-59,-56
-59,-57
-55,-56
-59,-57
-55,-56
-58,-57
-55,-56
-58,-56
-33,-52
-35,-48
-36,-46
-58,-48
-57,-50
-59,-51
-56,-52
-56,-53
-56,-53
-59,-54
-56,-55
-56,-55
-56,-55
-60,-56
-56,-56
-56,-56
-56,-56
-60,-56
-56,-56
-56,-56
-60,-57
-60,-57
-56,-57
-59,-57
-56,-57
-58,-57
-56,-57
-56,-56
-56,-56
-59,-57
-60,-57
