accelX,accelY,accelZ,label
-1.016,0.436,-2.051,0
-0.93,0.45,-1.787,0
-0.789,0.581,-1.396,0
-0.575,0.691,-1.04,0
-0.281,0.867,-0.642,0
-0.114,1.055,-0.414,0
-0.119,1.095,-0.216,0
-0.351,0.97,-0.042,0
-0.736,0.808,0.128,0
-0.899,0.7,0.369,0
-1.084,0.645,1.034,0
-1.073,0.618,1.697,0
-1.198,0.598,2.181,0
-1.067,0.674,2.246,0
-0.51,0.737,2.383,0
-0.173,0.845,2.653,0
0.183,1.261,2.855,0
0.095,1.807,2.73,0
-0.075,2.008,1.736,0
-0.036,1.672,1.007,1
-0.007,1.645,1.014,0
0.081,1.387,0.589,0
0.21,0.993,1.464,0
0.04,0.713,2.391,0
-0.382,0.209,3.205,0
-0.391,-0.245,3.327,0
-0.349,-0.666,3.157,0
-0.319,-0.778,3.086,0
-0.225,-0.624,2.648,0
-0.088,-0.477,1.913,0
0.213,-0.192,0.731,0
0.345,-0.125,-0.293,0
0.361,-0.137,-1.586,0
0.328,-0.214,-1.919,0
0.205,-0.501,-1.83,0
0.104,-0.735,-1.579,0
0.038,-0.855,-0.847,0
0.045,-0.961,-0.426,0
0.088,-0.998,-0.523,0
0.181,-0.909,-0.865,0
0.201,-0.9,-0.867,0
0.476,-0.566,-1.825,0
0.474,-0.387,-2.4,0
0.405,-0.243,-2.511,0
0.294,-0.111,-2.285,0
0.25,-0.057,-2.252,0
0.142,0.046,-2.153,0
0.032,0.116,-1.904,0
0.013,0.215,-1.656,0
0.017,0.343,-1.657,0
0.215,0.542,-1.635,0
0.288,0.62,-1.799,0
0.313,0.688,-2.1,0
0.344,0.665,-2.149,0
0.247,0.602,-1.816,0
0.139,0.483,-1.407,0
-0.045,0.237,-0.91,0
-0.159,0.215,-0.591,0
-0.05,0.219,-0.111,0
0.098,0.295,0.146,0
0.301,0.485,0.426,0
0.413,0.601,0.422,0
0.292,0.688,0.1,0
0.094,0.673,-0.18,0
-0.161,0.653,-0.318,0
-0.084,0.757,-0.297,0
-0.209,0.799,0.299,0
-0.337,0.801,0.859,0
-0.354,0.784,0.864,0
-0.183,0.846,2.098,0
0.208,0.887,2.412,0
0.216,1.081,2.536,0
-0.493,1.367,2.124,1
-0.655,1.322,1.027,0
-0.442,1.125,-0.118,0
-0.243,1.093,-0.603,0
-0.017,1.029,-0.21,0
-0.042,0.765,1.101,0
-0.101,0.301,3.052,0
-0.072,-0.001,4.486,0
-0.121,-0.427,5.755,0
0.042,-0.386,5.957,0
0.455,0.038,4.391,0
0.321,0.353,2.022,0
-0.115,0.263,-1.029,0
-0.193,0.191,-2.513,0
-0.496,0.288,-3.746,0
-0.782,0.218,-4.013,0
-1.305,-0.04,-3.446,0
-1.355,-0.174,-2.564,0
-0.604,-0.29,-0.936,0
-0.219,-0.379,-0.108,0
0.054,-0.552,0.587,0
0.146,-0.701,0.807,0
0.138,-0.821,0.451,0
-0.018,-0.792,-0.132,0
-0.176,-0.763,-0.721,0
-0.231,-0.762,-1.337,0
-0.571,-0.719,-2.273,0
-0.665,-0.549,-2.759,0
-0.649,-0.555,-2.758,0
-0.446,0.025,-2.947,0
-0.144,0.407,-2.667,0
-0.033,0.717,-2.467,0
-0.059,0.962,-1.919,0
-0.244,0.922,-1.569,0
-0.631,0.813,-1.276,0
-0.915,0.689,-1.081,0
-1.214,0.458,-0.567,0
-1.168,0.437,-0.456,0
-1.121,0.525,-0.276,0
-1.069,0.562,-0.134,0
-0.981,0.602,-0.255,0
-0.854,0.676,-0.301,0
-0.675,0.696,0.092,0
-0.509,0.659,0.433,0
-0.271,0.84,1.126,0
-0.184,0.921,1.894,0
-0.123,0.865,2.481,0
-0.3,0.692,2.333,0
-0.529,0.453,1.631,0
-0.405,0.351,1.06,0
-0.059,0.358,0.947,0
0.078,0.283,1.155,0
0.075,0.538,1.773,0
-0.29,0.854,1.96,1
-0.558,0.924,1.077,0
-0.472,0.744,0.315,0
-0.452,0.723,0.321,0
0.165,0.858,-0.235,0
0.157,0.859,-0.235,0
0.471,0.164,1.631,0
-0.124,-0.164,2.993,0
-0.509,-0.369,3.216,0
-0.55,-0.415,2.673,0
-0.408,-0.346,2.065,0
-0.012,-0.033,0.945,0
0.373,0.262,0.145,0
0.437,0.28,-0.298,0
0.303,0.094,-0.239,0
0.131,-0.166,-0.148,0
0.039,-0.271,-0.155,0
-0.054,-0.545,-0.21,0
-0.048,-0.678,-0.229,0
0.049,-0.789,-0.376,0
0.202,-0.746,-0.467,0
0.337,-0.698,-0.659,0
0.378,-0.617,-0.727,0
0.303,-0.479,-0.748,0
0.059,-0.533,-0.843,0
-0.172,-0.549,-1.086,0
-0.26,-0.447,-1.468,0
-0.231,-0.299,-2.032,0
-0.099,-0.182,-2.329,0
0.052,0.076,-2.441,0
0.211,0.294,-2.414,0
0.396,0.542,-2.102,0
0.541,0.725,-1.888,0
0.605,0.836,-1.845,0
0.476,0.815,-1.889,0
0.247,0.719,-1.853,0
0.037,0.577,-1.792,0
0.02,0.563,-1.789,0
-0.105,0.492,-1.229,0
-0.047,0.542,-0.916,0
-0.01,0.548,-0.687,0
0.326,0.606,-0.597,0
0.637,0.793,-0.332,0
0.744,0.873,0.246,0
