accelX,accelY,accelZ,label
-0.136,0.481,1.299,0
0.028,0.372,1.63,0
0.181,0.382,2.356,0
0.559,0.702,3.168,0
0.526,0.686,3.172,0
1.068,1.235,2.509,1
1.056,1.211,2.516,1
-0.083,1.033,1.554,1
-0.505,1.002,1.425,1
-0.494,1.146,1.241,1
-0.301,1.362,1.278,1
0.056,1.237,1.201,1
0.585,0.866,1.403,1
0.833,0.177,2.38,1
0.65,-0.515,3.344,1
0.277,-0.979,3.72,1
-0.317,-1.261,2.729,1
-0.669,-1.29,1.355,1
-1.046,-1.2,-0.097,1
-1.337,-1.123,-1.072,1
-1.517,-0.94,-2.009,1
-1.696,-0.695,-2.355,1
-1.739,-0.708,-2.544,1
-1.657,-0.733,-2.071,1
-1.31,-0.822,-0.904,1
-1.007,-0.849,-0.095,1
-0.641,-0.981,0.9,0
-0.341,-0.978,1.352,0
0.109,-0.761,0.955,0
0.401,-0.436,0.013,0
0.473,-0.256,-1.119,0
0.457,-0.117,-1.834,0
0.433,0.084,-2.244,0
0.281,0.153,-2.352,0
-0.024,0.065,-2.196,0
-0.169,0.017,-1.855,0
-0.331,-0.008,-1.502,0
-0.258,0.098,-1.402,0
-0.089,0.39,-1.478,0
0.03,0.595,-1.482,0
-0.05,0.749,-1.513,0
-0.068,0.82,-1.684,0
-0.112,0.813,-1.708,0
-0.204,0.803,-1.41,0
-0.273,0.716,-0.982,0
-0.331,0.609,-0.563,0
-0.41,0.422,0.034,0
-0.44,0.24,0.35,0
-0.45,0.265,0.656,0
-0.426,0.364,0.988,0
-0.277,0.423,1.35,0
0.134,0.589,1.57,0
0.418,0.61,2.21,0
0.371,0.475,2.718,0
0.311,0.421,2.711,0
0.365,0.375,2.284,0
0.479,0.2,1.53,0
0.23,0.192,1.313,0
-0.183,0.314,1.193,0
-0.063,0.299,1.051,1
-0.034,0.279,1.057,1
0.44,0.376,1.622,1
0.321,0.71,2.145,1
-0.076,0.954,2.083,1
-0.225,1.061,1.011,1
0.082,1.202,0.062,1
0.512,1.125,-0.565,1
0.585,0.466,-0.194,1
0.406,-0.312,1.058,1
0.064,-0.946,2.43,1
-0.486,-1.546,3.722,1
-0.765,-1.658,3.869,1
-0.69,-1.408,2.737,1
-0.44,-1.058,1.382,1
0.099,-0.445,-0.131,1
0.39,-0.095,-1.05,1
0.439,0.106,-1.648,1
0.466,0.113,-2.024,1
0.283,-0.025,-2.045,1
0.177,-0.206,-2.07,1
0,-0.451,-2.037,0
-0.043,-0.562,-1.99,0
0.18,-0.423,-1.835,0
0.365,-0.265,-1.724,0
0.577,-0.057,-1.988,0
0.703,0.171,-2.173,0
0.772,0.378,-2.183,0
0.677,0.507,-2.263,0
0.503,0.639,-2.796,0
0.362,0.734,-3.266,0
-0.026,0.713,-3.507,0
-0.272,0.587,-3.331,0
-0.225,0.473,-2.691,0
-0.175,0.294,-1.732,0
-0.091,0.23,-1.067,0
0.188,0.272,-0.48,0
0.493,0.294,0.293,0
0.599,0.289,0.533,0
0.332,0.144,0.233,0
-0.013,-0.027,0.074,0
-0.295,-0.059,-0.107,0
-0.346,0.017,-0.412,0
-0.325,0.191,-0.521,0
-0.296,0.184,-0.518,0
-0.171,0.24,0.554,0
-0.183,0.092,1.604,0
-0.291,-0.032,2.463,0
-0.169,0.013,2.597,0
0.108,0.329,2.354,0
0.162,0.636,2.075,0
0.294,1.018,1.452,0
0.494,1.107,1.285,0
0.373,1.218,1.084,0
0.097,1.241,1.336,1
-0.285,1.262,1.638,1
-0.608,1.058,1.716,1
-0.618,1.062,1.715,1
-1.004,0.745,0.981,1
-1.037,0.75,0.978,1
-0.562,-0.17,1.515,1
0.121,-0.572,3.083,1
0.332,-0.813,3.963,1
0.178,-0.917,3.581,1
-0.239,-0.962,2.136,1
-0.254,-0.927,2.126,1
-0.872,-0.848,-0.493,1
-1.176,-0.874,-1.134,1
-1.411,-0.84,-1.466,1
-1.653,-0.886,-1.831,1
-1.515,-0.847,-2.095,1
-1.224,-0.721,-1.866,1
-0.805,-0.583,-1.25,1
-0.371,-0.57,-0.49,1
-0.448,-0.755,0.144,1
-0.66,-1.031,0.572,0
-0.814,-1.087,0.241,0
-0.698,-0.988,-0.671,0
-0.493,-0.769,-1.219,0
-0.224,-0.516,-1.593,0
-0.105,-0.223,-1.856,0
0.012,0.087,-1.984,0
0.022,0.315,-2.226,0
-0.14,0.439,-2.218,0
-0.312,0.42,-1.954,0
-0.483,0.404,-1.336,0
-0.512,0.434,-0.967,0
-0.476,0.586,-1.095,0
-0.436,0.701,-1.207,0
-0.307,0.825,-1.132,0
-0.198,0.92,-0.936,0
-0.074,0.919,-0.649,0
-0.192,0.771,-0.324,0
-0.303,0.572,0.09,0
-0.25,0.411,0.377,0
-0.288,0.189,0.886,0
-0.267,0.061,1.208,0
-0.358,0.056,1.5,0
-0.338,0.077,1.479,0
-0.217,0.235,1.329,0
-0.04,0.401,1.102,0
0.199,0.565,1.107,0
0.388,0.57,1.126,0
0.498,0.486,1.463,0
0.581,0.343,1.723,0
0.297,0.46,1.941,0
0.217,0.393,1.659,1
0.333,0.337,1.288,1
0.483,0.17,1.505,1
0.286,0.021,2.381,1
0.078,0.033,2.778,1
-0.106,0.377,2.434,1
-0.134,0.76,1.449,1
0.249,1.256,-0.057,1
0.664,1.606,-1.147,1
0.898,1.539,-1.871,1
0.503,0.738,-0.972,1
-0.102,-0.378,1.016,1
-0.511,-1.137,2.64,1
-0.711,-1.664,4.057,1
-0.721,-1.789,3.893,1
-0.401,-1.503,2.098,1
