accelX,accelY,accelZ,label
-0.205,1.344,1.801,1
-0.199,1.325,1.806,0
-0.778,1.006,0.896,0
-0.897,0.934,0.805,0
-0.928,1.016,0.789,0
-0.954,1.033,0.783,0
-0.159,0.519,1.177,0
0.392,0.051,2.112,0
0.733,-0.299,3.131,0
0.756,-0.742,4.239,0
0.54,-0.919,4.325,0
0.235,-0.962,3.001,0
0.046,-0.881,1.104,0
-0.39,-0.853,-1.324,0
-0.673,-0.711,-2.582,0
-0.694,-0.538,-3.319,0
-0.648,-0.185,-3.349,0
-0.394,0.316,-2.74,0
-0.135,0.412,-2.189,0
-0.023,0.224,-1.254,0
-0.135,0.075,-0.78,0
-0.259,-0.182,-0.551,0
-0.367,-0.307,-0.532,0
-0.25,-0.282,-0.651,0
-0.011,-0.094,-0.848,0
0.372,0.216,-1.079,0
0.554,0.38,-1.298,0
0.431,0.548,-1.504,0
0.131,0.492,-1.527,0
-0.111,0.302,-1.412,0
-0.199,0.231,-1.155,0
-0.242,0.08,-0.583,0
-0.238,0.118,-0.297,0
-0.136,0.214,-0.228,0
-0.175,0.206,-0.358,0
-0.033,0.413,-0.958,0
0.065,0.55,-1.391,0
-0.046,0.623,-1.598,0
-0.176,0.602,-1.496,0
-0.182,0.589,-1.493,0
-0.359,0.504,-0.604,0
-0.287,0.444,-0.446,0
-0.391,0.35,0.012,0
-0.407,0.345,0.225,0
-0.455,0.341,0.175,0
-0.537,0.315,0.361,0
-0.209,0.513,0.655,0
0.042,0.865,0.863,0
-0.016,0.934,0.793,0
-0.014,0.912,0.799,0
-0.259,0.82,0.727,0
-0.209,0.59,0.984,0
-0.124,0.404,1.377,0
0.004,0.359,2.388,0
0.174,0.403,2.861,1
0.174,0.391,2.864,0
0.184,0.813,1.766,0
0.277,0.507,0.654,0
0.452,0.431,0.18,0
0.456,0.411,0.186,0
0.922,0.17,0.545,0
0.825,-0.26,1.379,0
0.552,-0.441,1.89,0
0.122,-0.678,2.292,0
-0.072,-0.65,2.358,0
-0.132,-0.338,1.558,0
-0.17,-0.104,0.63,0
-0.105,0.244,-0.545,0
-0.061,0.452,-1.448,0
-0.05,0.462,-1.963,0
0.003,0.408,-1.821,0
0.244,0.251,-1.162,0
0.371,0.171,-0.73,0
0.37,-0.165,-0.034,0
0.346,-0.407,0.302,0
0.335,-0.545,0.456,0
0.302,-0.654,0.501,0
0.258,-0.652,0.499,0
0.424,-0.572,0.253,0
0.588,-0.474,-0.089,0
0.542,-0.397,-0.363,0
0.403,-0.391,-0.826,0
0.295,-0.479,-1.188,0
0.106,-0.498,-1.254,0
0.047,-0.45,-1.096,0
0.075,-0.247,-1.269,0
0.175,0.077,-1.565,0
0.245,0.452,-2.067,0
0.233,0.728,-2.366,0
0.089,0.965,-2.78,0
-0.149,1.04,-2.876,0
-0.399,0.939,-2.571,0
-0.49,0.883,-2.136,0
-0.482,0.874,-1.47,0
-0.439,0.795,-0.995,0
-0.254,0.743,-0.684,0
-0.158,0.721,-0.488,0
0.124,0.727,-0.414,0
0.344,0.781,-0.136,0
0.581,0.655,0.605,0
0.673,0.678,1.11,0
0.626,0.723,1.703,0
0.421,0.737,1.808,0
0.186,0.791,1.272,0
0.007,0.857,0.829,0
-0.16,0.917,0.771,0
-0.067,1.008,0.711,0
0.198,1.245,0.598,0
0.419,1.295,0.769,0
0.259,1.075,1.515,0
-0.111,1.123,2.18,1
-0.431,1.062,2.855,0
-0.418,0.785,2.982,0
-0.391,0.693,2.498,0
-0.455,0.69,1.934,0
-0.593,0.734,1.405,0
-0.601,0.705,1.143,0
-0.317,0.427,1.056,0
0.003,0.088,1.569,0
0.384,-0.37,2.913,0
0.324,-0.767,3.886,0
0.103,-1.167,4.239,0
-0.106,-1.109,3.613,0
-0.288,-0.911,1.628,0
-0.28,-0.727,-0.214,0
-0.569,-0.637,-2.293,0
-0.722,-0.567,-3.06,0
-0.933,-0.404,-3.38,0
-0.858,-0.228,-3.008,0
-0.556,-0.064,-2.117,0
-0.438,-0.207,-1.434,0
-0.386,-0.449,-0.515,0
-0.48,-0.559,0.225,0
-0.399,-0.706,0.687,0
-0.197,-0.717,0.559,0
0.011,-0.531,-0.151,0
0.056,-0.406,-0.754,0
0.058,-0.246,-1.518,0
-0.053,-0.172,-1.826,0
-0.232,-0.005,-1.92,0
-0.253,0.117,-1.909,0
-0.262,0.316,-1.667,0
-0.338,0.326,-1.318,0
-0.445,0.323,-0.962,0
-0.368,0.425,-1.033,0
-0.25,0.471,-1.274,0
-0.346,0.459,-1.435,0
-0.345,0.443,-1.431,0
-0.571,0.409,-1.689,0
-0.629,0.336,-1.749,0
-0.712,0.273,-1.723,0
-0.708,0.266,-1.721,0
-0.699,0.272,-1.066,0
-0.596,0.345,-0.638,0
-0.589,0.336,-0.396,0
-0.616,0.342,-0.083,0
-0.59,0.314,0.349,0
-0.651,0.337,0.941,0
-0.836,0.352,1.357,0
-0.832,0.348,1.358,0
-0.586,0.627,1.688,0
-0.421,0.741,1.446,0
-0.356,0.714,1.407,0
-0.35,0.561,1.675,0
-0.26,0.511,2.133,0
-0.134,0.443,2.753,0
-0.106,0.663,2.911,1
-0.101,0.652,2.914,0
-0.105,0.518,1.783,0
-0.251,0.372,1.46,0
-0.202,0.33,1.365,0
-0.118,0.129,1.394,0
0.014,-0.145,1.607,0
-0.081,-0.281,2.107,0
-0.212,-0.46,2.209,0
-0.321,-0.618,1.968,0
-0.332,-0.595,1.503,0
-0.348,-0.43,0.642,0
-0.332,-0.296,0.145,0
-0.395,-0.261,-0.406,0
-0.482,-0.26,-0.518,0
-0.486,-0.319,-0.506,0
-0.366,-0.308,-0.577,0
-0.1,-0.228,-0.669,0
0.251,-0.211,-0.747,0
0.556,-0.215,-0.663,0
0.835,-0.135,-0.591,0
0.986,-0.129,-0.232,0
0.93,-0.229,0.116,0
0.482,-0.511,0.348,0
0.08,-0.73,0.56,0
-0.258,-0.861,0.627,0
-0.359,-0.802,0.259,0
-0.261,-0.538,-0.724,0
-0.021,-0.345,-1.549,0
0.206,-0.043,-2.505,0
0.262,0.082,-2.899,0
0.091,0.176,-2.709,0
-0.06,0.155,-2.324,0
-0.06,0.145,-2.321,0
-0.469,0.04,-1.507,0
-0.583,0.091,-1.507,0
-0.582,0.153,-1.575,0
-0.516,0.371,-1.687,0
-0.526,0.489,-1.64,0
-0.256,0.793,-1.782,0
0.045,1.055,-1.931,0
0.522,1.266,-2.216,0
0.613,1.272,-1.87,0
0.31,0.951,-1.141,0
0.026,0.667,-0.516,0
-0.315,0.401,0.28,0
-0.54,0.227,0.7,0
-0.677,0.19,0.793,0
-0.683,0.274,0.676,0
-0.757,0.365,0.305,0
-0.718,0.466,0.131,0
-0.602,0.642,0.302,0
-0.755,0.634,0.652,0
-0.892,0.455,1.067,0
-0.884,0.314,1.447,0
-0.688,0.199,2.222,0
-0.608,0.395,2.581,1
-0.471,0.733,2.289,0
-0.332,0.787,1.294,0
-0.561,0.718,0.081,0
-0.748,0.613,-0.221,0
-0.819,0.465,-0.064,0
-0.84,0.309,0.576,0
-0.798,-0.004,1.827,0
-0.617,-0.095,2.762,0
-0.294,-0.278,3.839,0
-0.116,-0.376,4.158,0
0.124,-0.285,3.353,0
0.134,0.004,2.089,0
0.098,0.147,0.109,0
0.037,0.068,-0.676,0
-0.433,0.088,-1.264,0
-0.956,-0.026,-1.107,0
-1.343,-0.193,-0.733,0
-1.545,-0.259,-0.283,0
-1.317,-0.378,0.156,0
-0.923,-0.459,0.274,0
-0.354,-0.43,0.233,0
-0.166,-0.453,0.182,0
-0.25,-0.571,0.248,0
-0.365,-0.622,0.343,0
-0.312,-0.571,0.184,0
-0.253,-0.429,-0.203,0
-0.17,-0.304,-0.962,0
-0.215,-0.201,-1.508,0
-0.326,-0.136,-2.023,0
-0.324,-0.159,-2.114,0
-0.285,-0.101,-1.752,0
-0.283,-0.026,-1.476,0
-0.264,0.038,-1.246,0
-0.311,0.127,-1.179,0
-0.434,0.246,-1.395,0
-0.566,0.247,-1.523,0
-0.552,0.236,-1.521,0
-0.645,0.422,-2.039,0
-0.762,0.447,-2.103,0
-0.873,0.417,-1.943,0
-1.099,0.328,-1.442,0
-1.27,0.254,-0.815,0
-1.29,0.105,-0.147,0
-1.076,0.132,0.349,0
-0.657,0.282,1.212,0
-0.438,0.245,1.295,0
-0.429,0.262,1.577,0
-0.591,0.312,1.567,0
-0.873,0.226,1.604,0
-0.965,0.223,1.935,0
-0.582,0.195,2.351,0
-0.283,0.262,2.73,0
-0.106,0.561,3.03,0
-0.099,0.815,2.876,0
0.269,0.97,1.983,0
0.412,1.076,1.205,1
0.574,1.114,-0.012,0
0.377,0.853,-0.309,0
-0.1,0.265,-0.158,0
-0.48,-0.192,0.356,0
-0.611,-0.788,1.654,0
-0.724,-1.095,2.523,0
-1.073,-1.344,3.375,0
-1.19,-1.424,3.681,0
-1.208,-1.249,3.528,0
-1.039,-0.901,2.551,0
-0.572,-0.417,0.773,0
-0.291,-0.11,-0.133,0
0.004,0.224,-1.055,0
0.003,0.275,-1.432,0
-0.232,0.126,-1.329,0
-0.278,0.087,-1.102,0
-0.09,-0.115,-0.723,0
-0.062,-0.227,-0.479,0
-0.067,-0.384,-0.012,0
-0.05,-0.511,0.075,0
-0.039,-0.579,-0.155,0
-0.002,-0.594,-0.408,0
0.14,-0.527,-0.934,0
0.184,-0.5,-1.173,0
0.182,-0.429,-1.414,0
0.052,-0.509,-1.589,0
-0.345,-0.691,-1.855,0
-0.547,-0.681,-1.953,0
-0.63,-0.582,-2.106,0
-0.445,-0.386,-2.361,0
-0.239,-0.117,-2.383,0
-0.164,0.034,-2.448,0
0.042,0.255,-2.57,0
0.163,0.355,-2.586,0
0.045,0.454,-2.584,0
-0.049,0.442,-2.635,0
-0.303,0.384,-2.377,0
-0.483,0.376,-2.025,0
-0.607,0.342,-1.313,0
-0.497,0.336,-0.603,0
-0.284,0.454,0.102,0
-0.03,0.455,0.385,0
0.454,0.606,1.012,0
0.804,0.842,1.427,0
0.725,0.91,1.808,0
0.425,0.85,1.649,0
-0.101,0.71,1.223,0
-0.226,0.674,1.223,0
-0.197,0.703,1.691,0
-0.04,0.688,2.256,0
-0.047,0.595,3.127,0
-0.099,0.589,3.534,0
-0.147,0.998,3.392,0
-0.109,1.088,2.702,1
-0.06,1.161,1.246,0
-0.112,1.198,0.387,0
-0.2,1.107,-0.473,0
-0.533,0.875,-0.644,0
-0.579,0.353,0.121,0
-0.275,-0.017,1.552,0
0.106,-0.601,4.35,0
0.164,-0.934,5.675,0
0.121,-1.145,6.075,0
0.102,-1.082,4.888,0
0.023,-0.727,1.916,0
-0.249,-0.706,0.001,0
-0.727,-0.566,-2.125,0
-1.031,-0.481,-3.029,0
-1.023,-0.348,-2.933,0
-0.973,-0.24,-2.329,0
-0.394,-0.354,-1.086,0
-0.431,-0.341,-1.088,0
0.043,-0.511,-0.267,0
0.018,-0.668,-0.11,0
-0.173,-0.795,0.098,0
-0.367,-0.926,0.109,0
-0.555,-1.01,0.057,0
-0.746,-1.042,-0.311,0
-0.675,-0.889,-1.091,0
-0.435,-0.72,-1.647,0
-0.257,-0.473,-2.223,0
-0.265,-0.385,-2.41,0
-0.216,-0.172,-2.451,0
-0.181,0.064,-2.283,0
-0.332,0.275,-1.866,0
-0.437,0.305,-1.483,0
-0.453,0.317,-1.018,0
-0.433,0.362,-0.798,0
-0.309,0.416,-0.594,0
-0.19,0.481,-0.515,0
-0.118,0.557,-0.495,0
-0.124,0.585,-0.703,0
-0.129,0.564,-0.697,0
-0.055,0.548,-0.747,0
-0.048,0.534,-0.743,0
-0.282,0.417,0.223,0
-0.265,0.27,0.749,0
-0.29,0.21,0.917,0
-0.381,0.228,1.296,0
-0.435,0.252,1.561,0
-0.429,0.228,1.567,0
-0.517,0.178,1.619,0
-0.559,0.15,1.618,0
-0.544,0.077,1.719,0
-0.307,0.033,2.177,0
-0.107,0.236,2.463,0
0.064,0.609,2.046,0
0.184,0.564,1.306,1
0.118,0.315,0.437,0
-0.015,0.221,0.189,0
-0.207,0.088,0.133,0
-0.19,-0.198,0.718,0
-0.051,-0.339,1.538,0
0.032,-0.447,1.863,0
-0.011,-0.592,2.167,0
-0.073,-0.604,2.243,0
-0.243,-0.53,2.06,0
-0.39,-0.496,1.805,0
-0.596,-0.422,1.066,0
-0.661,-0.311,0.427,0
-0.704,-0.181,-0.245,0
-0.66,-0.112,-0.617,0
-0.37,0.005,-0.31,0
-0.223,0.075,0.108,0
-0.167,0.001,0.477,0
-0.087,-0.043,0.413,0
0.072,-0.046,-0.029,0
0.045,-0.058,-0.325,0
-0.026,-0.136,-0.612,0
-0.181,-0.186,-0.615,0
-0.171,-0.184,-0.616,0
-0.485,-0.366,-0.969,0
-0.38,-0.242,-1.216,0
-0.3,-0.185,-1.136,0
-0.305,-0.138,-1.308,0
-0.394,-0.194,-1.513,0
-0.472,-0.147,-1.972,0
-0.386,-0.04,-2.289,0
-0.313,0.109,-2.828,0
-0.385,0.165,-3.062,0
-0.65,0.233,-2.903,0
-0.733,0.249,-2.592,0
-0.67,0.358,-1.935,0
-0.629,0.355,-1.547,0
-0.558,0.357,-1.143,0
-0.547,0.378,-1.011,0
-0.585,0.371,-1.109,0
-0.442,0.499,-1.379,0
-0.126,0.732,-1.684,0
0.101,0.835,-1.583,0
0.224,0.721,-0.857,0
0.187,0.67,-0.212,0
-0.003,0.596,1.088,0
-0.109,0.533,1.616,0
-0.151,0.511,1.8,0
-0.261,0.491,1.784,0
-0.326,0.566,1.314,0
-0.367,0.652,1.054,0
-0.061,0.717,1.099,0
0.198,0.807,1.311,0
0.206,0.778,1.32,0
0.201,1.393,1.555,0
-0.299,1.401,0.491,0
-0.592,1.149,-0.112,1
-0.859,0.872,-0.459,0
-0.919,0.552,-0.636,0
-0.737,0.078,0.354,0
-0.293,-0.164,1.96,0
0.377,-0.637,4.43,0
0.558,-0.782,5.408,0
0.588,-1.152,5.885,0
0.411,-1.115,5.281,0
0.17,-0.701,2.819,0
0.1,-0.393,0.72,0
-0.305,-0.427,-1.693,0
-0.569,-0.339,-3.034,0
-0.986,-0.336,-3.146,0
-1.185,-0.372,-2.51,0
-1.035,-0.444,-0.854,0
-0.697,-0.507,-0.023,0
-0.458,-0.769,1.085,0
-0.472,-0.94,1.478,0
-0.382,-0.987,1.269,0
-0.311,-0.906,0.604,0
-0.246,-0.716,-0.379,0
-0.196,-0.581,-1.027,0
-0.19,-0.487,-1.718,0
-0.296,-0.409,-2.093,0
-0.291,-0.21,-2.458,0
-0.225,-0.138,-2.3,0
-0.233,-0.133,-2.301,0
-0.129,0.059,-1.144,0
-0.229,0.119,-0.942,0
-0.31,0.232,-1.11,0
-0.37,0.342,-1.502,0
-0.346,0.396,-1.737,0
-0.328,0.458,-2.065,0
-0.291,0.475,-2.129,0
-0.307,0.415,-1.857,0
-0.345,0.414,-1.432,0
-0.355,0.416,-1.432,0
-0.444,0.436,-0.254,0
-0.412,0.539,0.025,0
-0.476,0.511,0.062,0
-0.492,0.589,0.395,0
-0.499,0.682,0.528,0
-0.58,0.707,0.449,0
-0.652,0.703,0.271,0
-0.772,0.613,0.443,0
-0.797,0.464,0.936,0
-0.253,0.33,1.637,0
0.36,0.412,1.979,0
1.042,0.482,2.365,0
0.968,0.621,2.466,0
0.697,0.965,1.794,0
0.653,0.689,1.149,0
0.594,0.356,0.899,0
0.447,0.203,1.319,1
0.158,-0.266,2.304,0
-0.028,-0.498,2.837,0
-0.267,-0.758,3.042,0
-0.435,-1.035,3.094,0
-0.507,-1.376,3.387,0
-0.426,-1.464,3.491,0
-0.045,-1.381,3.624,0
0.088,-1.112,3.316,0
0.185,-0.872,1.925,0
0.177,-0.68,0.971,0
0.045,-0.496,-0.195,0
-0.044,-0.449,-0.844,0
-0.115,-0.347,-1.605,0
-0.02,-0.332,-1.813,0
0.294,-0.258,-1.471,0
0.547,-0.216,-0.943,0
0.782,-0.222,-0.368,0
0.76,-0.251,-0.24,0
0.598,-0.296,-0.381,0
0.535,-0.301,-0.62,0
0.522,-0.25,-1.116,0
0.434,-0.25,-1.58,0
0.289,-0.289,-1.945,0
0.21,-0.279,-1.848,0
0.069,-0.248,-1.706,0
0.028,-0.197,-1.625,0
0.13,-0.041,-1.213,0
0.202,0.137,-1.167,0
0.169,0.307,-1.565,0
0.16,0.422,-1.962,0
-0.099,0.492,-2.506,0
-0.225,0.475,-2.729,0
-0.374,0.406,-2.55,0
-0.424,0.344,-2.124,0
-0.523,0.293,-1.509,0
-0.367,0.37,-1.354,0
0.064,0.495,-0.489,0
0.258,0.621,0.289,0
0.387,0.671,0.584,0
0.516,0.71,0.457,0
0.737,0.876,0.41,0
0.641,0.838,0.343,0
0.31,0.788,0.245,0
0.164,0.731,0.178,0
-0.002,0.656,0.322,0
0.017,0.64,0.326,0
-0.142,0.441,1.103,0
-0.05,0.365,1.507,0
-0.031,0.367,2.633,0
0.115,0.252,3.214,0
0.277,0.121,3.615,0
0.221,0.391,3.69,1
-0.268,0.862,2.297,0
-0.59,0.803,0.849,0
-0.762,0.735,-0.825,0
-0.933,0.739,-1.348,0
-0.914,0.714,-1.34,0
-1.146,0.12,-0.221,0
-0.706,-0.396,1.538,0
-0.349,-0.678,2.261,0
0.092,-1.303,3.467,0
0.25,-1.384,3.966,0
0.209,-1.346,3.956,0
0.021,-1.07,2.145,0
-0.009,-0.722,0.292,0
-0.259,-0.58,-0.74,0
-0.799,-0.496,-2.021,0
-1.078,-0.448,-2.187,0
-1.217,-0.58,-1.569,0
-0.954,-0.679,-0.764,0
-0.246,-0.787,0.864,0
0.144,-0.76,1.479,0
0.657,-0.743,1.759,0
0.769,-0.706,1.355,0
0.497,-0.696,0.25,0
0.206,-0.673,-0.651,0
0.075,-0.51,-1.51,0
-0.004,-0.405,-1.942,0
-0.314,-0.364,-2.628,0
-0.435,-0.354,-2.895,0
-0.391,-0.373,-2.52,0
-0.279,-0.336,-1.84,0
-0.1,-0.216,-0.876,0
0.085,0.023,-0.776,0
0.101,0.266,-1.125,0
-0.078,0.389,-1.491,0
-0.398,0.443,-2.037,0
-0.481,0.399,-2.146,0
-0.508,0.408,-2.002,0
-0.522,0.325,-1.7,0
-0.457,0.277,-1.093,0
-0.427,0.25,-0.78,0
-0.373,0.253,-0.407,0
-0.352,0.292,-0.123,0
-0.212,0.398,0.122,0
-0.083,0.429,0.288,0
-0.076,0.526,0.836,0
-0.065,0.606,1.022,0
-0.08,0.597,0.935,0
-0.119,0.592,0.908,0
-0.231,0.545,0.912,0
-0.238,0.359,1.215,0
-0.016,0.2,2.182,0
0.116,0.258,2.817,0
0.432,0.326,3.383,0
0.649,0.644,3.473,0
0.611,1.226,2.252,0
0.516,1.144,1.147,1
0.123,0.814,0.031,0
-0.152,0.704,-0.227,0
-0.303,0.334,0.328,0
-0.258,-0.048,1.215,0
-0.137,-0.435,2.201,0
-0.135,-0.628,2.685,0
-0.156,-1.115,3.519,0
-0.131,-1.282,3.673,0
-0.195,-1.236,3.352,0
-0.252,-1.026,2.638,0
