accelX,accelY,accelZ,label
-2.228,0.654,1.755,1
-2.013,0.548,2.376,1
-1.898,0.336,3.161,1
-1.852,-0.185,4.646,1
-2.032,-0.509,5.45,1
-2.228,-1.011,6.216,1
-2.408,-1.255,6.047,1
-2.878,-1.575,4.492,1
-3.255,-1.771,3.094,1
-3.313,-1.768,1.006,1
-3.265,-1.645,-0.1,1
-3.19,-1.349,-1.468,1
-3.093,-1.158,-2.118,1
-2.813,-0.867,-2.693,1
-2.552,-0.697,-2.783,1
-2.361,-0.598,-2.485,1
-2.38,-0.647,-2.166,1
-2.613,-1.029,-1.448,1
-2.77,-1.212,-1.139,1
-3.069,-1.49,-0.719,1
-3.213,-1.612,-0.462,1
-3.321,-1.736,-0.114,0
-3.215,-1.655,0.023,0
-2.971,-1.383,0.277,0
-2.75,-1.181,0.304,0
-2.481,-0.925,0.122,0
-2.322,-0.754,-0.049,0
-2.325,-0.698,-0.315,0
-2.402,-0.67,-0.399,0
-2.439,-0.687,-0.328,0
-2.41,-0.716,-0.285,0
-2.393,-0.681,-0.165,0
-2.393,-0.601,-0.115,0
-2.409,-0.417,-0.021,0
-2.265,-0.285,-0.042,0
-2.124,-0.013,-0.313,0
-2.015,0.168,-0.402,0
-1.642,0.534,-0.308,0
-1.604,0.662,-0.103,0
-1.707,0.742,0.309,0
-1.922,0.739,0.469,0
-2.159,0.791,0.568,0
-2.22,0.846,0.515,0
-2.126,0.963,0.304,0
-1.931,1.181,0.23,0
-1.411,1.529,0.065,0
-1.222,1.709,0.071,0
-1.032,1.919,0.652,0
-1.021,1.942,1.215,0
-1.209,1.681,1.819,0
-1.464,1.424,1.834,0
-1.825,1.187,1.651,0
-1.964,1.004,1.451,0
-2.062,0.891,1.226,1
-2.133,0.916,1.207,1
-2.293,0.894,1.432,1
-2.331,0.842,1.731,1
-2.353,0.892,2.22,1
-2.292,0.944,2.198,1
-2.2,0.998,1.344,1
-2.216,0.979,0.713,1
-2.191,1.012,-0.088,1
-2.044,1.03,-0.405,1
-1.944,0.802,-0.364,1
-1.843,0.639,0.134,1
-1.348,0.498,1.109,1
-1.318,0.26,1.814,1
-1.293,-0.298,2.719,1
-1.316,-0.606,3.186,1
-1.495,-1.129,3.564,1
-1.718,-1.213,3.462,1
-2.164,-1.303,2.409,1
-2.408,-1.298,1.587,1
-2.627,-1.224,0.549,1
-2.561,-1.223,0.531,0
-2.477,-0.822,-0.96,0
-2.399,-0.585,-1.318,0
-1.961,-0.107,-1.517,0
-1.6,0.147,-1.486,0
-1.615,0.122,-1.474,0
-1.031,0.463,-1.189,0
-1.27,0.274,-1.11,0
-1.392,0.135,-1.11,0
-1.502,0.065,-1.06,0
-1.415,-0.023,-1.064,0
-1.443,-0.055,-0.918,0
-1.553,-0.034,-0.856,0
-1.815,0.032,-0.619,0
-1.941,0.023,-0.59,0
-2.247,-0.056,-0.591,0
-2.34,-0.072,-0.672,0
-2.495,-0.127,-0.898,0
-2.563,-0.144,-1.065,0
-2.491,-0.004,-1.333,0
-2.315,0.216,-1.227,0
-1.86,0.517,-0.806,0
-1.601,0.678,-0.528,0
-1.42,0.914,-0.204,0
-1.482,0.929,-0.245,0
-1.779,0.717,-0.501,0
-1.973,0.536,-0.704,0
-2.083,0.334,-0.953,0
-2.081,0.303,-0.92,0
-2.024,0.423,-0.501,0
-1.986,0.486,-0.235,0
-1.968,0.464,-0.23,0
-2.205,0.383,0.015,0
-2.27,0.342,-0.439,0
-2.045,0.399,-0.623,0
-1.628,0.476,-0.516,0
-1.465,0.43,-0.198,0
-1.33,0.464,0.795,0
-1.331,0.463,0.795,0
-1.576,0.492,1.721,0
-1.653,0.428,1.441,0
-1.751,0.153,0.643,0
-1.95,-0.059,0.319,0
-2.224,0.019,0.395,0
-2.264,0.142,0.631,0
-2.202,0.297,0.919,1
-2.302,0.396,0.967,1
-2.177,0.549,0.578,1
-1.867,0.644,0.211,1
-0.698,0.708,-0.152,1
-0.334,0.662,0.046,1
-0.421,0.265,1.321,1
-0.717,-0.027,2.265,1
-1.428,-0.559,3.273,1
-2.056,-0.929,3.615,1
-2.474,-1.209,3.244,1
-2.381,-1.176,2.55,1
-2.096,-0.907,1.291,1
-1.902,-0.78,0.622,1
-1.564,-0.455,-0.043,1
-1.396,-0.44,-0.05,1
-1.351,-0.566,0.266,1
-1.463,-0.615,0.43,1
-1.742,-0.828,0.502,1
-1.932,-0.933,0.44,1
-2.101,-1.023,-0.089,1
-2.049,-0.915,-0.588,0
-2.021,-0.93,-0.588,0
-1.799,-0.461,-1.857,0
-1.661,-0.168,-2.294,0
-1.441,0.064,-2.358,0
-1.215,0.426,-2.053,0
-1.196,0.509,-1.625,0
-1.457,0.39,-0.919,0
-1.464,0.389,-0.917,0
-2.281,-0.049,-0.366,0
-2.438,-0.139,-0.317,0
-2.513,-0.211,-0.273,0
-2.321,-0.147,-0.354,0
-1.892,-0.02,-0.524,0
-1.582,0.056,-0.676,0
-1.039,0.291,-0.58,0
-0.854,0.355,-0.32,0
-0.911,0.318,0.135,0
-1.211,0.28,0.564,0
-1.866,-0.02,1.044,0
-2.315,-0.181,1.021,0
-2.824,-0.309,0.651,0
-2.993,-0.276,0.325,0
-2.936,-0.119,-0.174,0
-2.775,0.002,-0.389,0
-2.645,0.166,-0.518,0
-2.6,0.195,-0.417,0
-2.474,0.209,0.016,0
-2.454,0.297,0.256,0
-2.308,0.592,1.342,0
-2.008,0.72,2.148,0
-1.973,0.597,2.542,0
-2.351,0.413,2.552,0
-3.287,0.13,2.133,0
-3.766,-0.006,1.787,0
-3.769,-0.004,1.787,1
-4.24,-0.119,1.026,1
-3.997,-0.106,0.251,1
-3.678,-0.151,0.037,1
-2.87,-0.416,1.017,1
-2.366,-0.462,1.994,1
-2.017,-0.63,3.533,1
-2.258,-0.779,4.117,1
-3.144,-1.098,4.305,1
-3.611,-1.204,3.539,1
-3.943,-1.078,1.451,1
-3.945,-0.963,0.632,1
-3.897,-0.717,-0.873,1
-3.722,-0.441,-1.745,1
-3.295,0.026,-2.31,1
-2.879,0.257,-2.036,1
-2.355,0.243,-0.799,1
-2.243,0.189,-0.128,1
-2.233,0.081,1.005,1
-2.366,-0.017,1.41,1
-2.713,-0.367,1.324,1
-2.898,-0.419,0.822,0
-3.047,-0.434,-0.206,0
-2.924,-0.303,-0.77,0
-2.779,0.067,-1.336,0
-2.656,0.276,-1.558,0
-2.642,0.484,-1.726,0
-2.671,0.598,-1.749,0
-2.632,0.879,-1.751,0
-2.554,1.036,-1.816,0
-2.546,1.044,-1.82,0
-2.745,1.166,-1.872,0
-2.921,1.069,-1.694,0
-2.854,1.064,-1.448,0
-2.711,1.084,-1.061,0
-2.604,1.183,-0.732,0
-2.459,1.22,0.087,0
-2.306,1.2,0.52,0
-2.269,1.278,0.732,0
-2.277,1.302,0.691,0
-2.358,1.093,0.627,0
-2.431,0.984,0.539,0
-2.426,1.076,0.418,0
-2.331,1.144,0.426,0
-2.2,1.271,0.649,0
-2.06,1.349,0.938,0
-1.727,1.425,0.994,0
-1.694,1.422,0.941,0
-1.701,1.316,0.908,0
-1.549,1.239,0.881,0
-1.504,1.145,1.062,0
-1.655,1.193,1.011,0
-2.102,1.347,0.487,0
-2.24,1.215,0.132,0
-2.187,1.009,-0.642,0
-2.113,1.068,-0.892,0
-2.213,1.217,-0.457,1
-2.275,1.149,0.182,1
-2.319,1.021,1.11,1
-2.348,0.968,1.405,1
-2.06,0.722,1.933,1
-1.769,0.644,2.269,1
-1.495,0.443,2.494,1
-1.59,0.351,2.393,1
-1.994,0.298,2.211,1
-2.245,0.297,2.014,1
-2.784,-0.018,1.218,1
-3.055,-0.107,0.769,1
-3.128,-0.109,0.279,1
-3.131,-0.156,0.074,1
-3.14,-0.083,0.044,1
-3.063,-0.032,0.221,1
-2.922,-0.011,0.53,1
-2.827,-0.015,0.523,1
-2.489,0.067,0.178,1
-2.22,0.153,-0.082,1
-1.981,0.278,-0.466,1
-1.9,0.305,-0.623,0
-1.936,0.425,-0.761,0
-2.033,0.448,-0.842,0
-2.296,0.443,-1.097,0
-2.393,0.484,-1.368,0
-2.387,0.476,-1.367,0
-2.413,0.73,-1.731,0
-2.225,0.991,-1.798,0
-2.049,1.203,-1.831,0
-1.811,1.452,-1.872,0
-1.719,1.494,-1.981,0
-1.791,1.541,-2.05,0
-1.898,1.521,-1.944,0
-2.109,1.339,-1.396,0
-2.251,1.213,-1.077,0
-2.533,1.006,-0.478,0
-2.567,0.949,-0.197,0
-2.487,0.898,-0.032,0
-2.352,0.895,-0.128,0
-2.183,1.002,-0.479,0
-1.988,1.115,-0.621,0
-1.753,1.301,-0.715,0
-1.767,1.366,-0.576,0
-1.847,1.384,-0.145,0
-1.883,1.377,0.046,0
-1.96,1.275,0.313,0
-1.978,1.233,0.299,0
-1.825,1.344,0.197,0
-1.63,1.401,0.105,0
-1.257,1.588,0.225,0
