rssi,rssiKarman,distance
-77,-77,13.816
-65,-65.000,4.070
-69,-65.800,4.416
-82,-69.040,6.142
-69,-69.032,6.137
-68,-68.826,6.010
-71,-69.260,6.282
-71,-69.608,6.508
-81,-71.887,8.208
-67,-70.909,7.430
-67,-70.127,6.862
-70,-70.102,6.844
-84,-72.882,9.083
-70,-72.305,8.565
-83,-74.444,10.650
-67,-72.955,9.152
-67,-71.764,8.106
-67,-70.811,7.357
-67,-70.049,6.807
-66,-69.239,6.268
-69,-69.191,6.238
-68,-68.953,6.088
-67,-68.563,5.851
-70,-68.850,6.025
-65,-68.080,5.570
-67,-67.864,5.449
-85,-71.291,7.725
-67,-70.433,7.078
-71,-70.546,7.161
-79,-72.237,8.506
-58,-69.390,6.365
-66,-68.712,5.940
-66,-68.169,5.621
-71,-68.736,5.955
-75,-69.988,6.765
-81,-72.191,8.466
-66,-70.953,7.463
-66,-69.962,6.747
-71,-70.170,6.891
-67,-69.536,6.460
-67,-69.029,6.135
-77,-70.623,7.217
-69,-70.298,6.982
-66,-69.439,6.397
-76,-70.751,7.311
-67,-70.001,6.774
-69,-69.801,6.637
-66,-69.040,6.142
-74,-70.032,6.795
-77,-71.426,7.832
-72,-71.541,7.924
-66,-70.433,7.078
-67,-69.746,6.600
-75,-70.797,7.346
-72,-71.037,7.528
-73,-71.430,7.835
-67,-70.544,7.159
-71,-70.635,7.226
-77,-71.908,8.226
-49,-67.327,5.159
-70,-67.861,5.447
-75,-69.289,6.300
-77,-70.831,7.371
-72,-71.065,7.549
-71,-71.052,7.539
-78,-72.442,8.685
-78,-73.553,9.726
-71,-73.043,9.233
-72,-72.834,9.039
-78,-73.867,10.042
-78,-74.694,10.924
-71,-73.955,10.132
-73,-73.764,9.937
-79,-74.811,11.055
-79,-75.649,12.040
-69,-74.319,10.515
-70,-73.455,9.630
-74,-73.564,9.737
-80,-74.851,11.101
-71,-74.081,10.263
-71,-73.465,9.639
-73,-73.372,9.548
-73,-73.298,9.476
-71,-72.838,9.043
-71,-72.470,8.711
-72,-72.376,8.627
-73,-72.501,8.738
-69,-71.801,8.136
-75,-72.441,8.684
-68,-71.553,7.933
-71,-71.442,7.844
-67,-70.554,7.166
-71,-70.643,7.231
-69,-70.314,6.993
-76,-71.451,7.852
-76,-72.361,8.614
-71,-72.089,8.379
-68,-71.271,7.709
-68,-70.617,7.212
-66,-69.694,6.565
-69,-69.555,6.473
-73,-70.244,6.943
-71,-70.395,7.051
-66,-69.516,6.447
-69,-69.413,6.380
-71,-69.730,6.590
-73,-70.384,7.043
-68,-69.907,6.709
-72,-70.326,7.002
-67,-69.661,6.543
-67,-69.129,6.198
-75,-70.303,6.985
-69,-70.042,6.802
-71,-70.234,6.936
-67,-69.587,6.494
-80,-71.670,8.028
-77,-72.736,8.949
-67,-71.589,7.962
-67,-70.671,7.252
-78,-72.137,8.419
-67,-71.109,7.583
-76,-72.087,8.377
-68,-71.270,7.708
-70,-71.016,7.511
-48,-66.413,4.700
-53,-63.730,3.577
-73,-65.584,4.320
-68,-66.067,4.538
-67,-66.254,4.625
-68,-66.603,4.792
-67,-66.682,4.831
-74,-68.146,5.608
-71,-68.717,5.943
-72,-69.373,6.354
-81,-71.699,8.052
-77,-72.759,8.970
-67,-71.607,7.977
-71,-71.486,7.879
-70,-71.189,7.645
-79,-72.751,8.963
-73,-72.801,9.009
-68,-71.841,8.169
-67,-70.872,7.402
-68,-70.298,6.982
-67,-69.638,6.528
-71,-69.911,6.712
-69,-69.729,6.588
-70,-69.783,6.625
-80,-71.826,8.157
-69,-71.261,7.701
-68,-70.609,7.206
-71,-70.687,7.264
-77,-71.950,8.261
-77,-72.960,9.156
-66,-71.568,7.946
-65,-70.254,6.951
-69,-70.003,6.775
-77,-71.403,7.813
-67,-70.522,7.143
-67,-69.818,6.648
-66,-69.054,6.151
-84,-72.043,8.340
-66,-70.835,7.374
-65,-69.668,6.548
-67,-69.134,6.201
-74,-70.107,6.847
-70,-70.086,6.833
-77,-71.469,7.866
-67,-70.575,7.181
-67,-69.860,6.677
-78,-71.488,7.881
-66,-70.390,7.048
-63,-68.912,6.063
-69,-68.930,6.074
-74,-69.944,6.734
-67,-69.355,6.342
-67,-68.884,6.045
-72,-69.507,6.442
-77,-71.006,7.504
-69,-70.605,7.203
-69,-70.284,6.972
-67,-69.627,6.521
-71,-69.902,6.705
-70,-69.921,6.719
-67,-69.337,6.331
-70,-69.470,6.417
-67,-68.976,6.102
-69,-68.981,6.105
-71,-69.384,6.361
-66,-68.708,5.938
-67,-68.366,5.735
-77,-70.093,6.837
-77,-71.474,7.870
-64,-69.979,6.759
-71,-70.184,6.901
-67,-69.547,6.468
-72,-70.037,6.799
-76,-71.230,7.677
-71,-71.184,7.641
-70,-70.947,7.459
-68,-70.358,7.024
-66,-69.486,6.428
-68,-69.189,6.236
-70,-69.351,6.340
-68,-69.081,6.168
-69,-69.065,6.158
-69,-69.052,6.150
-69,-69.041,6.143
-69,-69.033,6.138
-71,-69.427,6.389
-77,-70.941,7.454
-70,-70.753,7.313
avg(rssi),avg(rssiKalman),avg(distance)
-70.62735849056604,-70.51881603773586,7.271471698113205
stdev(rssi),stdev(rssiKalman),stdev(distance)
5.1877765080908835,1.8690236627734116,1.4147284839011574
