tick,time,Beacon #1,Beacon #2,Beacon #3
0,203,5.455,4.343,null
1,403,5.455,4.343,null
2,602,5.455,4.343,null
3,802,3.950,3.527,3.205
4,1003,3.950,3.527,3.205
5,1204,3.950,3.527,3.205
6,1402,3.141,3.064,3.205
7,1605,3.141,3.064,3.205
8,1803,3.141,3.064,3.205
9,2002,2.942,3.064,3.205
10,2204,2.942,3.646,3.205
11,2403,2.942,3.646,3.205
12,2603,2.942,3.646,3.292
13,2803,2.166,3.147,3.456
14,3003,2.166,3.147,3.456
15,3203,2.166,3.147,3.456
16,3403,2.060,2.797,3.119
17,3603,2.060,2.797,3.119
18,3804,2.060,2.797,3.119
19,4003,2.162,3.953,3.309
20,4204,2.162,3.953,3.309
21,4404,2.162,3.953,3.309
22,4603,1.778,3.446,3.605
23,4804,1.778,3.446,3.605
24,5004,1.778,3.446,3.605
25,5203,1.709,3.008,3.336
26,5403,1.655,2.698,3.336
27,5603,1.655,2.698,3.336
28,5803,1.655,3.126,3.336
29,6004,1.655,3.126,3.493
30,6205,1.655,3.126,3.493
31,6404,1.655,3.126,3.493
32,6604,0.797,3.126,2.171
33,6804,0.797,3.126,2.171
34,7003,0.797,3.126,2.171
35,7204,0.954,3.126,1.297
36,7404,0.954,3.126,1.297
37,7604,0.954,3.126,1.297
38,7802,1.238,3.517,1.297
39,8004,1.397,3.517,1.686
40,8204,1.397,3.517,1.686
41,8403,1.367,3.138,2.023
42,8604,1.367,2.865,2.341
43,8803,1.367,2.865,2.341
44,9003,1.345,2.865,2.341
45,9204,1.288,2.663,2.426
46,9404,1.288,2.663,2.426
47,9603,1.288,3.259,2.707
48,9803,1.532,3.831,2.876
49,10004,1.532,3.831,2.876
50,10204,1.532,3.831,2.876
51,10403,1.473,3.360,2.876
52,10604,1.473,3.360,2.876
53,10804,1.473,3.360,2.876
54,11003,1.510,3.360,2.876
55,11204,1.510,3.360,2.876
56,11404,1.510,3.360,2.876
57,11603,1.510,3.925,2.876
58,11804,1.590,3.925,3.102
59,12004,1.590,3.925,3.102
60,12203,1.590,3.517,3.102
61,12404,1.473,3.517,3.478
62,12604,1.473,3.517,3.478
63,12804,1.473,3.517,3.478
64,13003,1.513,2.733,3.242
65,13204,1.513,2.733,3.242
66,13404,1.513,2.733,3.242
67,13603,1.739,3.736,3.413
68,13803,1.739,3.736,3.413
69,14003,1.739,3.736,3.413
70,14203,1.630,2.977,3.463
71,14404,1.547,2.977,3.598
72,14604,1.547,2.977,3.598
73,14803,1.574,2.977,3.331
74,15003,1.574,2.977,3.331
75,15204,1.574,2.977,3.331
76,15403,1.743,3.563,3.331
