tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,202,null,null,null,null
1,402,null,null,null,null
2,601,null,null,null,null
3,803,null,5.635,null,null
4,1002,null,5.635,null,null
5,1202,null,5.490,null,null
6,1405,null,5.490,null,null
7,1602,null,5.490,null,null
8,1803,null,5.490,null,null
9,2002,null,5.490,null,null
10,2203,null,5.490,null,null
11,2401,null,5.490,null,null
12,2602,null,5.490,null,null
13,2802,null,5.490,null,null
14,3002,null,5.490,null,null
15,3202,2.196,5.427,null,null
16,3404,2.196,5.427,null,null
17,3602,2.196,5.427,null,null
18,3802,2.023,5.761,7.192,null
19,4003,2.023,5.761,7.591,null
20,4203,2.023,5.761,7.591,null
21,4402,2.774,5.761,6.926,null
22,4603,2.774,5.035,6.437,null
23,4803,2.774,5.035,6.437,null
24,5003,2.774,5.035,6.437,null
25,5204,2.586,5.017,5.752,null
26,5403,2.586,5.017,5.752,null
27,5602,2.305,5.017,5.752,null
28,5803,2.103,5.135,6.015,null
29,6002,2.103,5.135,6.015,null
30,6202,2.103,5.135,6.015,null
31,6403,2.947,4.593,5.597,null
32,6603,2.947,4.593,5.597,null
33,6804,2.947,4.593,5.597,null
34,7002,2.714,4.662,5.597,null
35,7203,2.714,4.662,5.597,null
36,7403,2.714,4.662,5.597,null
37,7602,2.327,4.970,6.554,null
38,7802,2.327,4.970,6.554,null
39,8002,2.327,4.970,6.554,null
40,8202,2.327,4.359,5.995,null
41,8403,2.327,4.359,5.582,null
42,8603,2.327,4.359,5.582,null
43,8802,2.327,4.589,5.582,null
44,9002,2.121,4.658,4.996,null
45,9202,2.121,4.658,4.996,null
46,9403,2.121,4.658,4.996,null
47,9603,2.026,4.839,5.979,null
48,9803,2.026,4.839,5.979,null
49,10003,2.026,4.839,5.979,null
50,10202,3.371,3.940,5.570,null
51,10403,3.371,3.940,5.570,null
52,10602,3.371,3.940,5.570,null
53,10803,3.022,4.232,5.570,null
54,11003,2.770,4.482,5.570,null
