coordX,coordY
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-5.6300363E-5,0.0015894675
-5.6300363E-5,0.0015894675
-5.6300363E-5,0.0015894675
-5.6300363E-5,0.0015894675
-5.6300363E-5,0.0015894675
-5.6300363E-5,0.0015894675
-5.6300363E-5,0.0015894675
-1.6362425E-4,0.007947681
-1.6362425E-4,0.007947681
-1.6362425E-4,0.007947681
-1.6362425E-4,0.007947681
-1.6362425E-4,0.007947681
-1.6362425E-4,0.007947681
1.7216733E-4,0.02059267
1.7216733E-4,0.02059267
1.7216733E-4,0.02059267
1.7216733E-4,0.02059267
1.7216733E-4,0.02059267
1.7216733E-4,0.02059267
4.8676753E-4,0.03814891
4.8676753E-4,0.03814891
4.8676753E-4,0.03814891
4.8676753E-4,0.03814891
4.8676753E-4,0.03814891
0.0014212133,0.066314355
0.0014212133,0.066314355
0.0014212133,0.066314355
0.0014212133,0.066314355
0.0014212133,0.066314355
