locX,locY
-0.006,1.000
0.010,2.000
0.019,3.000
-0.005,3.999
-0.037,4.999
-0.057,5.999
-0.043,6.999
0.956,6.951
1.955,6.912
2.955,6.895
3.954,6.858
4.954,6.821
5.953,6.783
6.952,6.737
6.923,5.737
6.844,4.740
6.711,3.749
6.674,2.750
6.715,1.751
6.811,0.755
6.917,-0.239
5.917,-0.223
4.918,-0.197
3.918,-0.167
2.921,-0.094
1.921,-0.103
0.926,-0.210
-0.059,-0.382
