locX,locY
0.000,2.000
0.000,3.000
0.009,4.000
0.011,5.000
-0.053,5.998
-0.054,6.998
-0.184,7.989
-0.164,8.989
-0.253,9.985
0.746,9.944
1.743,9.863
2.737,9.757
3.724,9.594
4.715,9.461
5.692,9.249
6.676,9.072
6.499,8.088
6.285,7.111
6.042,6.141
5.756,5.183
5.501,4.216
5.198,3.263
4.943,2.296
3.986,2.585
3.029,2.877
2.104,3.257
1.167,3.604
0.253,4.011
-0.692,4.337
-1.602,4.752
-2.563,5.030
-3.502,5.372
