accelX,accelY,accelZ,label
0.799,0.384,0.787,0
0.701,0.38,0.685,0
0.563,0.335,0.323,0
0.503,0.327,0.073,0
0.52,0.393,-0.168,0
0.568,0.441,-0.206,0
0.649,0.544,-0.15,0
0.766,0.643,-0.123,0
0.97,0.765,0,0
0.997,0.822,0.119,0
0.957,0.819,0.168,0
0.886,0.798,0.138,0
0.848,0.802,0.109,0
0.891,0.781,0.106,0
0.903,0.657,0.378,0
0.904,0.563,0.748,1
0.849,0.564,1.323,1
0.626,0.706,1.453,1
0.364,0.812,0.82,1
0.296,0.714,0.34,1
0.364,0.775,-0.293,1
0.503,0.916,-0.705,1
0.984,0.888,-0.979,1
1.067,0.726,-0.586,1
0.793,0.238,0.587,1
0.573,-0.15,1.659,1
0.24,-0.509,2.803,1
0.068,-0.773,3.297,1
0.139,-1.103,3.508,1
0.387,-1.201,3.14,1
0.712,-1.253,2.387,1
0.707,-1.322,2.231,1
0.592,-1.397,2.195,1
0.452,-1.344,1.983,1
0.229,-1.229,1.339,1
0.087,-1.152,0.555,1
-0.126,-0.985,-0.883,0
-0.148,-0.868,-1.65,0
0.135,-0.617,-2.606,0
0.336,-0.466,-2.875,0
0.489,-0.237,-2.754,0
0.502,-0.248,-2.158,0
0.473,-0.437,-1.175,0
0.328,-0.603,-0.524,0
0.233,-0.788,0.274,0
0.22,-0.888,0.714,0
0.128,-0.921,0.881,0
0.023,-0.965,0.826,0
0.014,-0.953,0.821,0
0.078,-0.724,0.248,0
0.283,-0.42,-0.104,0
0.348,-0.236,-0.249,0
0.428,-0.033,-0.36,0
0.517,0.076,-0.322,0
0.369,0.011,-0.05,0
0.262,-0.08,0.048,0
0.047,-0.219,0.289,0
-0.012,-0.285,0.418,0
-0.176,-0.346,0.212,0
-0.198,-0.351,-0.13,0
-0.002,-0.266,-0.711,0
0.186,-0.097,-1.021,0
0.196,-0.105,-1.018,0
0.352,0.13,-1.246,0
0.387,0.18,-0.999,0
0.326,0.16,-0.67,0
0.128,0.113,-0.321,0
-0.028,0.099,-0.326,0
-0.02,0.106,-0.328,0
-0.219,0.117,-0.791,0
-0.365,0.075,-1.023,0
-0.343,0.111,-1.082,0
-0.121,0.376,-1.151,0
0.026,0.563,-1.069,0
0.121,0.633,-0.806,0
0.224,0.665,-0.644,0
0.188,0.695,-0.264,0
0.049,0.648,-0.17,0
-0.101,0.543,-0.034,0
-0.194,0.467,-0.034,0
-0.152,0.498,-0.133,0
0.024,0.63,-0.136,0
0.37,0.755,-0.081,0
0.466,0.772,0.186,0
0.59,0.801,0.841,0
0.593,0.749,1.124,0
0.43,0.582,1.285,0
0.253,0.489,1.421,0
-0.087,0.461,1.282,0
-0.265,0.56,1.05,0
-0.189,0.554,0.499,0
0.062,0.516,0.268,0
0.445,0.498,0.473,0
0.676,0.478,0.799,1
1.002,0.376,1.357,1
1.001,0.13,1.74,1
0.681,-0.165,2.189,1
0.406,-0.302,2.285,1
0.277,-0.358,2.073,1
0.299,-0.374,1.853,1
0.426,-0.498,1.761,1
0.582,-0.629,2.027,1
0.739,-0.825,2.564,1
0.695,-1.015,2.738,1
0.473,-1.219,2.597,1
0.394,-1.245,2.018,1
0.449,-1.125,0.698,1
0.571,-0.948,-0.477,1
0.661,-0.591,-1.923,1
0.695,-0.413,-2.491,1
0.759,-0.166,-3.072,1
0.758,-0.104,-3.094,1
0.838,0.036,-2.77,1
1.017,0.087,-2.47,1
1.023,0.007,-1.87,0
0.87,-0.153,-1.294,0
0.735,-0.374,-0.675,0
0.768,-0.546,-0.192,0
0.944,-0.685,0.386,0
1.095,-0.707,0.877,0
1.165,-0.742,1.568,0
1.041,-0.764,1.954,0
0.845,-0.817,2.026,0
0.621,-0.827,1.678,0
0.462,-0.805,0.736,0
0.531,-0.679,-0.141,0
0.768,-0.317,-1.27,0
0.9,-0.155,-1.723,0
1.098,0.104,-2.125,0
1.241,0.308,-2.117,0
1.325,0.527,-1.973,0
1.103,0.543,-1.742,0
0.738,0.362,-1.212,0
0.567,0.314,-0.901,0
0.535,0.361,-0.511,0
0.601,0.333,-0.215,0
0.722,0.417,0.027,0
0.79,0.495,0.075,0
0.934,0.616,0.03,0
0.981,0.679,-0.014,0
0.849,0.675,-0.086,0
0.794,0.662,-0.112,0
0.762,0.634,-0.185,0
0.74,0.642,-0.292,0
0.729,0.649,-0.362,0
