rssi,rssiKarman,distance
-67,-67.000,3.738
-66,-66.800,3.632
-64,-66.240,3.353
-62,-65.392,2.970
-66,-65.514,3.022
-66,-65.611,3.064
-64,-65.289,2.926
-63,-64.831,2.741
-65,-64.865,2.754
-64,-64.692,2.687
-64,-64.553,2.634
-67,-65.043,2.825
-67,-65.434,2.988
-63,-64.947,2.787
-63,-64.558,2.636
-62,-64.046,2.450
-67,-64.637,2.666
-66,-64.910,2.772
-62,-64.328,2.551
-62,-63.862,2.386
-63,-63.690,2.328
-63,-63.552,2.283
-61,-63.041,2.122
-67,-63.833,2.376
-63,-63.667,2.320
-62,-63.333,2.212
-68,-64.267,2.528
-62,-63.813,2.370
-64,-63.851,2.382
-66,-64.280,2.533
-63,-64.024,2.442
-63,-63.820,2.372
-62,-63.456,2.251
-66,-63.964,2.421
-63,-63.772,2.356
-63,-63.617,2.304
-66,-64.094,2.467
-63,-63.875,2.391
-62,-63.500,2.266
-63,-63.400,2.234
-62,-63.120,2.146
-63,-63.096,2.139
-67,-63.877,2.391
-63,-63.701,2.332
-63,-63.561,2.286
-62,-63.249,2.186
-64,-63.399,2.233
-67,-64.119,2.476
-64,-64.095,2.467
-64,-64.076,2.460
-67,-64.661,2.675
-66,-64.929,2.780
-63,-64.543,2.630
-63,-64.234,2.517
-63,-63.988,2.429
-63,-63.790,2.362
-65,-64.032,2.445
-67,-64.626,2.662
-64,-64.501,2.614
-63,-64.200,2.505
-66,-64.560,2.637
-63,-64.248,2.522
-66,-64.599,2.651
-66,-64.879,2.760
-64,-64.703,2.691
-63,-64.362,2.563
-65,-64.490,2.610
-63,-64.192,2.501
-64,-64.154,2.488
-64,-64.123,2.477
-64,-64.098,2.468
-63,-63.879,2.392
-66,-64.303,2.541
-64,-64.242,2.520
-63,-63.994,2.432
-67,-64.595,2.650
-64,-64.476,2.605
-64,-64.381,2.570
-67,-64.905,2.770
-63,-64.524,2.623
-62,-64.019,2.440
-63,-63.815,2.370
-66,-64.252,2.523
-63,-64.002,2.434
-63,-63.801,2.366
-64,-63.841,2.379
-66,-64.273,2.531
-68,-65.018,2.815
-64,-64.815,2.734
-63,-64.452,2.596
-63,-64.161,2.491
-68,-64.929,2.780
-63,-64.543,2.630
-66,-64.835,2.742
-66,-65.068,2.835
-64,-64.854,2.750
-63,-64.483,2.608
-63,-64.187,2.500
-66,-64.549,2.633
-68,-65.239,2.906
-64,-64.992,2.805
-65,-64.993,2.805
-63,-64.595,2.650
-62,-64.076,2.460
-64,-64.061,2.455
-64,-64.048,2.451
-65,-64.239,2.518
-65,-64.391,2.574
-66,-64.713,2.695
-63,-64.370,2.566
-62,-63.896,2.398
-62,-63.517,2.271
-63,-63.414,2.238
-66,-63.931,2.410
-64,-63.945,2.415
-67,-64.556,2.635
-67,-65.045,2.826
-65,-65.036,2.822
-64,-64.829,2.740
-63,-64.463,2.600
-63,-64.170,2.494
-67,-64.736,2.704
-66,-64.989,2.803
-64,-64.791,2.725
-64,-64.633,2.664
-63,-64.306,2.543
-67,-64.845,2.746
-64,-64.676,2.681
-63,-64.341,2.555
-63,-64.073,2.459
-63,-63.858,2.385
-68,-64.687,2.685
-66,-64.949,2.788
-63,-64.559,2.636
-63,-64.247,2.521
-64,-64.198,2.504
-63,-63.958,2.419
-67,-64.567,2.639
-67,-65.053,2.829
-64,-64.843,2.745
-62,-64.274,2.531
-67,-64.819,2.736
-67,-65.255,2.912
-62,-64.604,2.653
-61,-63.883,2.394
-61,-63.307,2.204
-67,-64.045,2.450
-67,-64.636,2.666
-61,-63.909,2.402
-62,-63.527,2.275
-62,-63.222,2.177
-62,-62.977,2.103
-67,-63.782,2.359
-63,-63.626,2.307
-63,-63.500,2.266
-63,-63.400,2.234
-65,-63.720,2.338
-62,-63.376,2.226
-66,-63.901,2.400
-66,-64.321,2.548
-62,-63.857,2.384
-62,-63.485,2.261
-67,-64.188,2.500
-66,-64.551,2.633
-66,-64.840,2.745
-64,-64.672,2.679
-76,-66.938,3.705
-72,-67.950,4.282
avg(rssi),avg(rssiKalman),avg(distance)
-64.36904761904762,-64.34639880952379,2.5716547619047625
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.117274539100421,0.7191722684206128,0.2887384503584854
