coordX,coordY
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-3.783917E-6,0.0013599797
-3.783917E-6,0.0013599797
-3.783917E-6,0.0013599797
-3.783917E-6,0.0013599797
-3.783917E-6,0.0013599797
-3.783917E-6,0.0013599797
-1.3073891E-5,0.0078001698
-1.3073891E-5,0.0078001698
-1.3073891E-5,0.0078001698
-1.3073891E-5,0.0078001698
-1.3073891E-5,0.0078001698
-1.3073891E-5,0.0078001698
3.857759E-5,0.01905824
3.857759E-5,0.01905824
3.857759E-5,0.01905824
3.857759E-5,0.01905824
3.857759E-5,0.01905824
3.857759E-5,0.01905824
2.4380625E-4,0.036749013
2.4380625E-4,0.036749013
2.4380625E-4,0.036749013
2.4380625E-4,0.036749013
2.4380625E-4,0.036749013
0.0010038242,0.059590347
0.0010038242,0.059590347
0.0010038242,0.059590347
0.0010038242,0.059590347
0.0010038242,0.059590347
0.0018694623,0.08854087
0.0018694623,0.08854087
0.0018694623,0.08854087
0.0018694623,0.08854087
0.0018694623,0.08854087
0.0018694623,0.08854087
0.0018694623,0.08854087
0.0031965554,0.12173783
0.0031965554,0.12173783
0.0031965554,0.12173783
0.0031965554,0.12173783
0.0055244532,0.1565339
0.0055244532,0.1565339
0.0055244532,0.1565339
0.0055244532,0.1565339
0.0055244532,0.1565339
0.0055244532,0.1565339
0.008308664,0.1922032
0.008308664,0.1922032
0.008308664,0.1922032
0.008308664,0.1922032
0.008308664,0.1922032
