locX,locY
-0.014,1.000
-0.009,2.000
-0.008,3.000
-0.005,4.000
0.049,4.998
1.013,4.733
1.962,4.418
2.876,4.011
3.799,3.627
4.597,3.024
3.894,2.313
3.150,1.644
2.380,1.007
1.516,0.503
0.645,0.012
-0.258,-0.419
-0.446,0.563
