locX,locY
0.000,2.000
0.059,2.998
0.230,3.983
0.294,4.981
0.392,5.977
0.479,6.973
0.656,7.957
0.657,8.957
-0.171,9.518
-1.134,9.786
-2.056,10.173
-2.997,10.512
-3.994,10.439
-4.569,9.620
-5.072,8.756
-5.513,7.859
-5.968,6.968
-6.371,6.053
-6.844,5.172
-7.294,4.279
-7.157,3.288
-6.332,2.723
-5.523,2.135
-4.684,1.591
-3.863,1.020
-3.007,0.504
-2.182,-0.062
-1.387,-0.669
-0.615,-1.304
0.214,-1.864
