tick,time,Beacon #1,Beacon #2,Beacon #3
0,202,null,null,null
1,401,null,null,null
2,602,null,1.533,8.230
3,802,0.937,1.494,7.389
4,1003,0.937,1.494,7.389
5,1203,0.937,1.494,7.389
6,1402,0.910,1.439,6.964
7,1605,0.910,1.439,6.964
8,1803,0.910,1.439,6.964
9,2003,0.889,1.383,5.804
10,2203,0.889,1.383,5.804
11,2401,0.889,1.383,5.804
12,2602,0.899,1.370,6.224
13,2802,0.899,1.370,6.224
14,3002,0.899,1.370,6.224
15,3203,0.899,1.370,6.224
16,3402,0.906,1.365,5.909
17,3603,0.906,1.365,5.909
18,3802,0.886,1.365,4.954
19,4003,0.886,1.292,4.303
20,4202,0.886,1.292,4.303
21,4402,0.886,1.292,4.303
22,4603,0.896,1.303,4.303
23,4802,0.896,1.303,4.303
24,5002,0.896,1.303,4.303
25,5201,0.819,1.303,4.281
26,5403,0.819,1.303,4.281
27,5603,0.819,1.303,4.281
28,5802,0.794,1.245,4.281
29,6003,0.794,1.245,4.281
30,6203,0.794,1.245,4.281
31,6402,0.797,1.264,5.149
32,6603,0.799,1.264,5.149
33,6803,0.799,1.264,5.149
34,7002,0.799,1.280,5.149
35,7203,0.778,1.293,4.942
36,7402,0.778,1.293,4.942
37,7603,0.778,1.293,4.942
38,7803,0.762,1.237,4.294
39,8003,0.762,1.237,4.294
40,8202,0.762,1.237,4.294
41,8403,0.771,1.302,5.025
42,8603,0.771,1.302,5.025
43,8803,0.771,1.302,5.025
44,9001,0.771,1.318,4.734
45,9203,0.771,1.318,4.734
46,9403,0.771,1.318,4.734
47,9602,0.756,1.318,4.734
48,9802,0.744,1.256,4.149
49,10003,0.744,1.256,4.149
50,10202,0.757,1.307,5.022
51,10403,0.790,1.350,5.022
52,10602,0.790,1.350,5.022
53,10803,0.790,1.350,5.022
54,11002,0.818,1.349,4.844
55,11203,0.818,1.349,4.844
56,11402,0.818,1.349,4.844
57,11602,0.792,1.280,3.789
58,11804,0.792,1.280,3.789
59,12003,0.792,1.280,3.789
60,12202,0.819,1.327,4.546
61,12402,0.819,1.331,4.546
62,12602,0.819,1.331,4.546
63,12802,0.794,1.334,4.546
64,13002,0.774,1.334,4.546
65,13204,0.774,1.334,4.546
66,13402,0.774,1.268,4.546
67,13602,0.758,1.218,4.126
68,13803,0.758,1.218,4.126
69,14002,0.758,1.276,4.126
70,14203,0.768,1.324,5.276
71,14403,0.768,1.324,5.276
72,14603,0.768,1.324,5.276
73,14802,0.754,1.328,5.040
74,15003,0.754,1.328,5.040
75,15203,0.754,1.328,5.040
76,15402,0.743,1.264,4.362
77,15603,0.743,1.264,4.362
78,15802,0.743,1.264,4.362
79,16002,0.734,1.264,5.516
80,16203,0.734,1.314,6.307
81,16403,0.734,1.314,6.307
82,16602,0.734,1.314,5.813
83,16802,0.727,1.355,5.813
84,17003,0.727,1.355,5.813
85,17203,0.727,1.355,5.813
86,17403,0.765,1.285,4.374
87,17603,0.765,1.285,4.374
88,17802,0.765,1.285,4.374
89,18003,0.796,1.331,4.374
90,18203,0.796,1.331,4.374
91,18403,0.796,1.331,4.374
92,18602,0.799,1.369,4.338
93,18803,0.778,1.400,4.338
