rssi,rssiKarman,distance
-68,-68.000,2.939
-64,-67.200,2.649
-69,-67.560,2.776
-68,-67.648,2.808
-68,-67.718,2.833
-65,-67.175,2.640
-68,-67.340,2.697
-68,-67.472,2.744
-65,-66.977,2.573
-65,-66.582,2.444
-68,-66.866,2.536
-68,-67.092,2.612
-68,-67.274,2.674
-65,-66.819,2.520
-68,-67.055,2.599
-68,-67.244,2.664
-65,-66.795,2.513
-69,-67.236,2.661
-68,-67.389,2.715
-68,-67.511,2.758
-65,-67.009,2.584
-65,-66.607,2.452
-69,-67.086,2.609
-68,-67.269,2.672
-65,-66.815,2.519
-68,-67.052,2.598
-68,-67.242,2.663
-65,-66.793,2.512
-68,-67.035,2.592
-68,-67.228,2.658
-68,-67.382,2.712
-65,-66.906,2.549
-68,-67.125,2.623
-68,-67.300,2.683
-68,-67.440,2.732
-65,-66.952,2.564
-65,-66.561,2.437
-68,-66.849,2.530
-68,-67.079,2.607
-65,-66.663,2.470
-68,-66.931,2.557
-68,-67.145,2.630
-68,-67.316,2.689
-66,-67.053,2.598
-67,-67.042,2.595
-67,-67.034,2.592
-65,-66.627,2.458
-65,-66.302,2.356
-69,-66.841,2.528
-68,-67.073,2.605
-66,-66.858,2.533
-69,-67.287,2.679
-65,-66.829,2.524
-69,-67.263,2.671
-68,-67.411,2.722
-65,-66.929,2.557
-69,-67.343,2.698
-66,-67.074,2.606
-69,-67.459,2.740
-67,-67.368,2.707
-65,-66.894,2.545
-68,-67.115,2.619
-68,-67.292,2.681
-65,-66.834,2.525
-68,-67.067,2.603
-68,-67.254,2.667
-65,-66.803,2.515
-68,-67.042,2.595
-69,-67.434,2.730
-68,-67.547,2.771
-65,-67.038,2.593
-68,-67.230,2.659
-67,-67.184,2.643
-65,-66.747,2.497
-68,-66.998,2.580
-68,-67.198,2.648
-68,-67.359,2.704
-65,-66.887,2.543
-68,-67.110,2.618
-67,-67.088,2.610
-68,-67.270,2.673
-65,-66.816,2.519
-69,-67.253,2.667
-68,-67.402,2.719
-68,-67.522,2.762
-68,-67.617,2.796
-66,-67.294,2.681
-68,-67.435,2.731
-65,-66.948,2.563
-69,-67.359,2.704
-67,-67.287,2.679
-65,-66.829,2.524
-69,-67.264,2.671
-68,-67.411,2.722
-68,-67.529,2.764
-65,-67.023,2.588
-65,-66.618,2.455
-69,-67.095,2.612
-68,-67.276,2.675
-68,-67.421,2.726
-68,-67.536,2.767
-65,-67.029,2.590
-68,-67.223,2.657
-69,-67.579,2.782
-69,-67.863,2.887
-65,-67.290,2.680
-65,-66.832,2.525
-68,-67.066,2.603
-65,-66.653,2.466
-69,-67.122,2.622
-69,-67.498,2.753
-69,-67.798,2.863
-68,-67.839,2.878
-68,-67.871,2.890
-65,-67.297,2.682
-68,-67.437,2.732
-68,-67.550,2.772
-65,-67.040,2.594
-68,-67.232,2.660
-66,-66.986,2.576
-69,-67.388,2.714
-69,-67.711,2.831
-68,-67.769,2.852
-65,-67.215,2.654
-69,-67.572,2.780
-69,-67.858,2.885
-69,-68.086,2.972
-69,-68.269,3.044
-66,-67.815,2.869
-64,-67.052,2.598
-65,-66.642,2.463
-68,-66.913,2.552
-68,-67.131,2.625
-69,-67.505,2.756
-69,-67.804,2.865
-68,-67.843,2.880
-65,-67.274,2.674
-69,-67.619,2.797
-69,-67.896,2.900
-69,-68.116,2.984
-66,-67.693,2.824
-68,-67.755,2.847
-69,-68.004,2.941
-65,-67.403,2.719
-69,-67.722,2.835
-68,-67.778,2.855
-68,-67.822,2.872
-65,-67.258,2.669
-69,-67.606,2.792
-68,-67.685,2.821
-68,-67.748,2.844
-65,-67.198,2.648
-68,-67.359,2.704
-68,-67.487,2.749
-68,-67.590,2.786
-65,-67.072,2.605
-69,-67.457,2.739
-69,-67.766,2.851
-68,-67.813,2.868
-65,-67.250,2.666
-65,-66.800,2.514
-68,-67.040,2.594
-67,-67.032,2.591
-69,-67.426,2.727
-65,-66.941,2.561
-67,-66.952,2.565
-68,-67.162,2.635
-65,-66.730,2.491
-68,-66.984,2.575
-65,-66.587,2.445
-69,-67.070,2.604
-68,-67.256,2.668
-68,-67.404,2.720
-65,-66.924,2.555
-68,-67.139,2.628
-68,-67.311,2.687
-65,-66.849,2.530
-69,-67.279,2.676
-68,-67.423,2.727
-68,-67.539,2.768
-64,-66.831,2.524
-65,-66.465,2.407
-69,-66.972,2.571
-69,-67.377,2.710
-65,-66.902,2.548
-69,-67.322,2.691
-68,-67.457,2.739
-65,-66.966,2.569
-65,-66.573,2.441
-68,-66.858,2.533
-68,-67.086,2.610
-65,-66.669,2.472
-68,-66.935,2.559
-68,-67.148,2.631
-65,-66.719,2.488
-69,-67.175,2.640
-65,-66.740,2.495
-69,-67.192,2.646
-68,-67.354,2.702
-68,-67.483,2.748
-68,-67.586,2.785
-65,-67.069,2.604
-65,-66.655,2.467
-68,-66.924,2.555
-68,-67.139,2.628
-68,-67.311,2.687
-65,-66.849,2.530
-65,-66.479,2.411
-68,-66.783,2.509
-67,-66.827,2.523
-65,-66.461,2.406
-69,-66.969,2.570
-68,-67.175,2.640
-68,-67.340,2.697
-66,-67.072,2.605
-69,-67.458,2.739
-68,-67.566,2.778
-68,-67.653,2.809
-65,-67.122,2.622
-65,-66.698,2.481
-68,-66.958,2.567
-68,-67.167,2.637
-68,-67.333,2.695
-65,-66.867,2.536
-65,-66.493,2.416
-68,-66.795,2.512
-65,-66.436,2.398
-69,-66.949,2.563
-68,-67.159,2.634
-65,-66.727,2.490
-68,-66.982,2.574
-69,-67.385,2.713
-68,-67.508,2.757
-65,-67.007,2.583
-65,-66.605,2.451
-69,-67.084,2.609
-68,-67.267,2.672
-68,-67.414,2.723
-65,-66.931,2.557
-65,-66.545,2.432
-69,-67.036,2.593
-68,-67.229,2.658
-64,-66.583,2.444
-68,-66.866,2.536
-68,-67.093,2.612
-68,-67.274,2.674
-65,-66.820,2.521
-68,-67.056,2.599
-68,-67.245,2.664
-65,-66.796,2.513
-68,-67.037,2.593
-69,-67.429,2.729
-68,-67.543,2.770
-65,-67.035,2.592
-67,-67.028,2.590
-69,-67.422,2.726
-69,-67.738,2.841
avg(rssi),avg(rssiKalman),avg(distance)
-67.1828793774319,-67.18698832684824,2.646914396887157
stdev(rssi),stdev(rssiKalman),stdev(distance)
1.5810215252396838,0.35610329986539263,0.12338891910107641
