tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,200,1.456,null,2.448,null
1,401,1.456,null,2.448,null
2,601,1.456,null,2.448,null
3,801,1.295,2.790,2.654,null
4,1001,1.295,2.790,2.654,null
5,1200,1.295,2.790,2.654,null
6,1401,1.145,3.106,2.474,null
7,1602,1.145,3.106,2.474,null
8,1802,1.145,3.106,2.474,null
9,2002,1.145,3.106,2.474,null
10,2201,1.237,4.659,2.403,null
11,2401,1.237,4.659,2.403,null
12,2602,1.237,4.659,2.546,null
13,2802,1.103,4.249,2.546,null
14,3002,1.103,4.249,2.546,null
15,3202,1.103,4.249,2.546,null
16,3401,0.987,4.158,2.229,null
17,3602,0.987,4.158,2.229,null
18,3802,0.987,4.158,2.229,null
19,4001,1.006,5.442,2.211,null
20,4201,1.006,5.442,2.211,null
21,4402,1.006,5.442,2.211,null
22,4601,0.882,5.442,2.381,null
23,4802,0.882,5.442,2.381,null
24,5003,0.882,5.442,2.381,null
25,5201,0.867,5.068,2.269,null
26,5402,0.867,5.068,2.269,null
27,5601,0.867,5.068,2.269,null
28,5801,0.867,5.068,2.269,null
29,6002,0.934,8.027,2.304,null
30,6202,0.934,8.027,2.304,null
31,6401,0.934,8.027,2.304,null
32,6602,0.887,5.476,2.723,null
33,6802,0.887,5.476,2.723,null
34,7001,0.887,5.476,2.723,null
35,7201,0.897,5.476,2.378,null
36,7401,0.897,5.476,2.378,null
37,7602,0.897,5.476,2.378,null
38,7801,0.960,8.435,2.267,null
39,8002,0.960,8.435,2.302,null
40,8202,0.960,8.435,2.302,null
41,8402,0.960,8.435,2.302,null
42,8602,0.901,7.011,2.459,null
43,8801,0.901,7.011,2.459,null
44,9002,0.901,7.011,2.459,null
45,9202,0.882,6.207,2.328,null
46,9403,0.882,6.207,2.328,null
47,9602,0.882,6.207,2.328,null
48,9801,1.038,8.322,2.351,null
49,10002,1.038,8.322,2.351,null
50,10201,1.038,8.322,2.351,null
51,10401,0.949,6.758,2.570,null
52,10602,0.949,6.758,2.570,null
53,10801,0.949,6.758,2.570,null
54,11000,0.949,6.758,2.412,null
55,11200,0.919,6.186,2.412,null
56,11402,0.919,6.186,2.412,null
57,11601,1.008,7.877,2.419,null
58,11801,1.008,9.557,2.419,null
59,12002,1.008,9.557,2.419,null
60,12201,1.008,9.557,2.419,null
61,12401,0.937,7.549,2.677,null
62,12601,0.937,7.549,2.677,null
63,12801,0.937,7.549,2.677,null
64,13001,0.883,6.759,2.352,null
65,13202,0.883,6.759,2.352,null
66,13401,0.883,6.759,2.352,null
67,13601,0.976,8.238,2.247,null
68,13801,0.976,8.238,2.247,null
69,14001,0.976,8.238,2.247,null
70,14201,0.976,6.704,2.412,null
71,14402,0.976,6.704,2.553,null
72,14601,0.976,6.704,2.553,null
73,14801,0.940,6.704,2.553,null
