rssi,rssiKarman,distance
-41,-41.000,0.032
-41,-41.000,0.032
-62,-45.200,0.059
-66,-49.360,0.109
-62,-51.888,0.158
-63,-54.110,0.220
-66,-56.488,0.311
-67,-58.591,0.424
-60,-58.873,0.442
-61,-59.298,0.470
-60,-59.438,0.480
-64,-60.351,0.549
-61,-60.481,0.559
-62,-60.784,0.585
-62,-61.028,0.606
-67,-62.222,0.722
-61,-61.978,0.697
-61,-61.782,0.677
-62,-61.826,0.681
-62,-61.861,0.685
-66,-62.688,0.773
-66,-63.351,0.852
-38,-58.281,0.405
-38,-54.224,0.223
-41,-51.580,0.151
-41,-49.464,0.111
-62,-51.971,0.160
-62,-53.977,0.215
-63,-55.781,0.281
-66,-57.825,0.379
-61,-58.460,0.416
-61,-58.968,0.448
-62,-59.574,0.490
-66,-60.860,0.591
-61,-60.888,0.594
-61,-60.910,0.596
-62,-61.128,0.615
-62,-61.302,0.631
-66,-62.242,0.724
-66,-62.994,0.809
-60,-62.395,0.741
-63,-62.516,0.754
-62,-62.413,0.743
-66,-63.130,0.825
-61,-62.704,0.775
-62,-62.563,0.759
-67,-63.451,0.865
-66,-63.961,0.932
-62,-63.568,0.880
-62,-63.255,0.840
-63,-63.204,0.834
-66,-63.763,0.905
-66,-64.210,0.967
-61,-63.568,0.880
-61,-63.055,0.816
-63,-63.044,0.815
-61,-62.635,0.767
-67,-63.508,0.872
-66,-64.006,0.938
-64,-64.005,0.938
-42,-59.604,0.492
-44,-56.483,0.311
-63,-57.787,0.377
-63,-58.829,0.439
-62,-59.463,0.482
-61,-59.771,0.504
-62,-60.217,0.538
-66,-61.373,0.638
-66,-62.299,0.730
-61,-62.039,0.703
-62,-62.031,0.702
-62,-62.025,0.702
-66,-62.820,0.788
-66,-63.456,0.866
-61,-62.965,0.805
-61,-62.572,0.760
-62,-62.457,0.748
-62,-62.366,0.738
-66,-63.093,0.821
-63,-63.074,0.818
-63,-63.059,0.817
-64,-63.247,0.839
-66,-63.798,0.910
-64,-63.838,0.915
-64,-63.871,0.920
-66,-64.297,0.979
-61,-63.637,0.889
-62,-63.310,0.847
-62,-63.048,0.815
-66,-63.638,0.889
-66,-64.111,0.953
-62,-63.688,0.896
-62,-63.351,0.852
-66,-63.881,0.921
-61,-63.305,0.847
-62,-63.044,0.815
-61,-62.635,0.767
-61,-62.308,0.731
-62,-62.246,0.725
-66,-62.997,0.809
-61,-62.598,0.763
-64,-62.878,0.795
-64,-63.102,0.822
-66,-63.682,0.895
-66,-64.146,0.958
-62,-63.716,0.899
-62,-63.373,0.855
-62,-63.099,0.821
-66,-63.679,0.894
-61,-63.143,0.827
-62,-62.914,0.799
-66,-63.532,0.875
-61,-63.025,0.813
-66,-63.620,0.887
-66,-64.096,0.951
-61,-63.477,0.868
-61,-62.982,0.807
-66,-63.585,0.882
-66,-64.068,0.947
-61,-63.455,0.865
-62,-63.164,0.829
-39,-58.331,0.408
-67,-60.065,0.526
-63,-60.652,0.574
-64,-61.321,0.633
-65,-62.057,0.705
-65,-62.646,0.768
-64,-62.917,0.800
-67,-63.733,0.901
-62,-63.387,0.857
-64,-63.509,0.872
-62,-63.207,0.835
-63,-63.166,0.829
-66,-63.733,0.901
-62,-63.386,0.857
-63,-63.309,0.847
-66,-63.847,0.917
-67,-64.478,1.006
-62,-63.982,0.935
-62,-63.586,0.882
-62,-63.269,0.842
-61,-62.815,0.788
-66,-63.452,0.865
-66,-63.962,0.932
-61,-63.369,0.855
-61,-62.895,0.797
-66,-63.516,0.873
-61,-63.013,0.811
-61,-62.610,0.765
-66,-63.288,0.844
-61,-62.831,0.790
-61,-62.465,0.748
-62,-62.372,0.738
-66,-63.097,0.821
-66,-63.678,0.894
-61,-63.142,0.827
-66,-63.714,0.899
-66,-64.171,0.961
-61,-63.537,0.876
-62,-63.229,0.837
-66,-63.784,0.908
-61,-63.227,0.837
-62,-62.981,0.807
-66,-63.585,0.882
-61,-63.068,0.818
-62,-62.855,0.792
-61,-62.484,0.750
-66,-63.187,0.832
-66,-63.750,0.904
-61,-63.200,0.834
-61,-62.760,0.781
-61,-62.408,0.742
-66,-63.126,0.825
-66,-63.701,0.897
-61,-63.161,0.829
-62,-62.929,0.801
-66,-63.543,0.877
-61,-63.034,0.814
-62,-62.827,0.789
-62,-62.662,0.770
-66,-63.330,0.850
-66,-63.864,0.919
-60,-63.091,0.820
-62,-62.873,0.795
-62,-62.698,0.774
-66,-63.359,0.853
-60,-62.687,0.773
-62,-62.549,0.758
-66,-63.240,0.838
-60,-62.592,0.762
-61,-62.273,0.728
-61,-62.019,0.701
-61,-61.815,0.680
-66,-62.652,0.769
-60,-62.122,0.712
-61,-61.897,0.689
-66,-62.718,0.777
-61,-62.374,0.738
-64,-62.699,0.775
-67,-63.560,0.879
-66,-64.048,0.944
-62,-63.638,0.889
-60,-62.910,0.799
-63,-62.928,0.801
-66,-63.543,0.877
-67,-64.234,0.970
-62,-63.787,0.909
-62,-63.430,0.862
-62,-63.144,0.827
-67,-63.915,0.926
-62,-63.532,0.875
-62,-63.226,0.837
-67,-63.981,0.935
-63,-63.784,0.908
-67,-64.428,0.998
-66,-64.742,1.045
-63,-64.394,0.993
-64,-64.315,0.982
-64,-64.252,0.973
-67,-64.802,1.054
-62,-64.241,0.971
-58,-62.993,0.809
-60,-62.394,0.741
-60,-61.916,0.690
-61,-61.732,0.672
-65,-62.386,0.740
-61,-62.109,0.710
-62,-62.087,0.708
-62,-62.070,0.706
-66,-62.856,0.793
-66,-63.485,0.869
-66,-63.988,0.936
-61,-63.390,0.857
-62,-63.112,0.823
-66,-63.690,0.896
-66,-64.152,0.959
-61,-63.521,0.874
-61,-63.017,0.812
-62,-62.814,0.788
-43,-58.851,0.440
-62,-59.481,0.483
-66,-60.785,0.585
-66,-61.828,0.682
-60,-61.462,0.646
-63,-61.770,0.676
-61,-61.616,0.661
-62,-61.693,0.668
-65,-62.354,0.736
-66,-63.083,0.819
-61,-62.667,0.771
-61,-62.333,0.734
-63,-62.467,0.749
-61,-62.173,0.717
-61,-61.939,0.693
-62,-61.951,0.694
-66,-62.761,0.782
-62,-62.609,0.764
-61,-62.287,0.729
-63,-62.429,0.744
-62,-62.344,0.735
-66,-63.075,0.818
-61,-62.660,0.770
-61,-62.328,0.733
-63,-62.462,0.748
-66,-63.170,0.830
-61,-62.736,0.779
-66,-63.389,0.857
-61,-62.911,0.799
-62,-62.729,0.778
-66,-63.383,0.856
-62,-63.106,0.822
-66,-63.685,0.895
-61,-63.148,0.827
-61,-62.718,0.777
-62,-62.575,0.761
-66,-63.260,0.841
-62,-63.008,0.810
-61,-62.606,0.764
-62,-62.485,0.751
-66,-63.188,0.832
-61,-62.750,0.780
-64,-63.000,0.810
-65,-63.400,0.858
-61,-62.920,0.800
-66,-63.536,0.876
-60,-62.829,0.789
-60,-62.263,0.727
-62,-62.211,0.721
-62,-62.168,0.717
-65,-62.735,0.779
-61,-62.388,0.740
-66,-63.110,0.823
-60,-62.488,0.751
-62,-62.391,0.740
-67,-63.312,0.847
-67,-64.050,0.944
-62,-63.640,0.889
-62,-63.312,0.847
-62,-63.050,0.815
-66,-63.640,0.889
-67,-64.312,0.981
-62,-63.849,0.917
-62,-63.480,0.869
-67,-64.184,0.963
-67,-64.747,1.046
-61,-63.998,0.937
-61,-63.398,0.858
-61,-62.918,0.800
-66,-63.535,0.876
-64,-63.628,0.888
-61,-63.102,0.822
-62,-62.882,0.796
-62,-62.705,0.775
-62,-62.564,0.759
-61,-62.251,0.725
-65,-62.801,0.786
-60,-62.241,0.724
-60,-61.793,0.678
-60,-61.434,0.643
-64,-61.947,0.694
avg(rssi),avg(rssiKalman),avg(distance)
-62.46875,-62.206943750000036,0.7620187500000001
stdev(rssi),stdev(rssiKalman),stdev(distance)
4.493636994406646,2.9021143461424685,0.17703234068507798
