tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,200,null,null,2.534,3.240
1,401,null,null,2.534,3.240
2,601,null,null,2.534,3.240
3,1983,2.912,655.460,2.534,3.530
4,2602,2.912,305.933,2.981,3.949
5,3314,3.040,305.933,2.886,3.906
6,3818,4.294,148.055,3.451,4.617
7,4321,4.294,148.055,3.451,4.617
8,4804,4.248,91.290,3.244,4.426
9,5288,4.329,97.022,3.500,4.158
10,5762,5.115,48.966,3.500,4.310
11,6233,4.771,48.966,3.500,4.310
12,6703,4.513,44.295,3.281,4.189
13,7185,4.505,69.864,3.880,3.867
14,7673,4.857,51.026,3.880,4.185
15,8146,4.857,51.026,3.880,4.185
16,8614,4.778,49.823,3.482,4.091
17,9091,4.717,62.684,3.720,4.091
18,9555,4.668,62.684,3.720,4.255
19,10012,4.668,62.684,3.720,4.255
20,10477,4.434,56.604,3.240,4.146
21,10945,4.256,66.192,3.240,3.994
22,11406,4.118,51.253,3.240,4.056
23,11872,4.118,51.253,3.585,4.106
24,12330,4.469,48.097,3.262,4.029
25,12777,4.282,84.149,3.428,4.029
26,13211,4.282,84.149,3.428,4.029
27,13652,4.320,39.496,3.428,4.325
28,14093,4.414,32.700,3.147,4.201
29,14535,4.414,32.700,3.147,4.201
30,14973,4.961,51.630,4.261,3.634
31,15409,4.860,30.014,4.577,4.097
32,15850,4.991,30.014,4.170,4.023
33,16286,5.098,28.551,3.870,4.023
34,16731,5.098,28.551,3.870,2.053
35,17175,5.098,28.551,3.870,1.383
36,17612,5.098,28.551,3.870,1.383
37,18045,4.968,30.173,3.257,1.687
38,18482,5.302,30.173,3.257,1.922
39,18913,5.302,30.173,3.257,1.922
40,19356,7.230,21.283,3.881,2.393
41,19799,6.569,23.853,3.881,2.393
42,20241,6.569,23.853,3.881,2.393
43,20674,6.569,34.773,3.881,2.393
44,21105,6.569,29.200,4.143,2.933
45,21536,6.569,29.200,4.143,2.933
46,21971,4.902,30.720,3.662,3.168
