tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,200,null,null,null,null
1,400,0.298,2.790,6.286,null
2,601,0.298,2.790,6.286,null
3,801,0.298,2.790,6.286,null
4,1000,0.280,2.676,6.286,null
5,1202,0.280,2.676,6.286,null
6,1400,0.280,2.676,6.286,null
7,1602,0.336,3.106,6.286,null
8,1802,0.413,3.106,8.230,null
9,2002,0.413,3.106,8.230,null
10,2201,0.413,3.106,8.230,null
11,2401,0.408,2.846,8.230,null
12,2601,0.408,2.846,8.230,null
13,2801,0.408,2.846,8.230,null
14,3002,0.324,2.719,8.455,null
15,3202,0.324,2.719,8.455,null
16,3401,0.324,2.719,8.455,null
17,3601,0.401,3.534,9.885,null
18,3802,0.401,3.534,11.822,null
19,4002,0.401,3.534,11.822,null
20,4201,0.397,3.234,10.703,null
21,4401,0.397,3.234,9.885,null
22,4602,0.397,3.234,9.885,null
23,4801,0.351,3.234,10.614,null
24,5001,0.351,3.234,10.614,null
25,5202,0.351,3.234,10.614,null
26,5401,0.351,3.234,12.181,null
27,5602,0.427,3.613,13.601,null
28,5801,0.427,3.613,13.601,null
29,6002,0.427,3.613,13.601,null
30,6202,0.413,3.135,12.301,null
31,6401,0.413,3.135,12.301,null
32,6602,0.413,3.135,12.301,null
33,6801,0.363,3.135,12.923,null
34,7002,0.363,3.135,12.923,null
35,7202,0.363,3.135,12.923,null
36,7401,0.511,3.525,15.048,null
37,7602,0.511,3.872,15.048,null
38,7802,0.511,3.872,15.048,null
39,8001,0.484,3.570,12.983,null
40,8202,0.463,3.346,12.983,null
41,8402,0.463,3.346,12.983,null
42,8602,0.463,3.346,12.983,null
43,8802,0.397,3.346,12.849,null
44,9003,0.397,3.346,12.849,null
45,9201,0.397,3.713,12.849,null
46,9401,0.472,4.036,14.581,null
47,9602,0.472,4.036,14.581,null
48,9802,0.472,4.036,14.581,null
49,10001,0.454,3.691,13.005,null
50,10202,0.454,3.691,13.005,null
51,10401,0.454,3.691,13.005,null
52,10602,0.391,3.691,13.005,null
53,10801,0.391,3.691,13.005,null
54,11002,0.391,3.691,13.005,null
55,11204,0.466,4.231,13.005,null
56,11401,0.536,4.231,15.963,null
57,11602,0.536,4.231,15.963,null
58,11801,0.503,4.231,13.610,null
59,12002,0.477,3.934,12.307,null
60,12202,0.477,3.934,12.307,null
61,12402,0.477,3.934,12.307,null
62,12602,0.407,3.523,12.993,null
63,12802,0.407,3.523,12.993,null
64,13002,0.407,3.523,12.993,null
65,13200,0.550,3.870,15.818,null
66,13401,0.550,3.870,15.818,null
67,13601,0.550,3.870,15.818,null
68,13802,0.513,3.569,13.511,null
69,14002,0.513,3.345,13.511,null
70,14202,0.513,3.345,13.511,null
71,14401,0.432,3.175,13.511,null
72,14601,0.432,3.175,13.511,null
73,14802,0.432,3.175,13.511,null
74,15001,0.432,3.175,13.511,null
75,15201,0.504,3.561,15.179,null
76,15401,0.504,3.561,15.179,null
77,15601,0.504,3.339,15.179,null
78,15801,0.478,3.171,15.179,null
79,16002,0.478,3.171,15.179,null
80,16202,0.478,3.171,15.179,null
81,16402,0.408,2.965,15.367,null
82,16601,0.408,2.965,15.367,null
83,16801,0.408,2.965,15.367,null
84,17001,0.482,3.371,16.378,null
85,17201,0.482,3.371,16.378,null
86,17401,0.482,3.371,16.378,null
87,17600,0.482,3.280,14.272,null
88,17802,0.462,3.280,14.272,null
89,18002,0.462,3.280,14.272,null
90,18203,0.397,3.280,14.272,null
91,18402,0.351,3.126,14.272,null
92,18602,0.351,3.126,14.272,null
93,18802,0.351,3.126,14.272,null
94,19002,0.427,3.517,16.797,null
95,19202,0.427,3.517,16.797,null
96,19401,0.427,3.517,16.797,null
97,19601,0.413,3.306,12.377,null
98,19802,0.413,3.306,12.377,null
99,20003,0.413,3.306,12.377,null
100,20201,0.363,3.065,12.368,null
101,20401,0.363,3.065,12.368,null
102,20602,0.363,3.065,12.368,null
103,20801,0.439,3.065,12.368,null
104,21002,0.439,3.065,14.529,null
105,21202,0.439,3.065,14.529,null
106,21401,0.439,3.040,14.529,null
107,21602,0.420,3.019,11.526,null
108,21802,0.420,3.019,11.526,null
109,22003,0.420,3.019,11.526,null
110,22202,0.368,2.851,12.001,null
111,22401,0.368,2.851,12.001,null
112,22603,0.368,2.851,12.001,null
113,22801,0.515,3.442,14.183,null
114,23002,0.515,3.442,14.183,null
115,23202,0.515,3.442,14.183,null
116,23401,0.487,3.249,12.382,null
117,23602,0.487,3.249,12.382,null
118,23801,0.487,3.249,12.382,null
119,24001,0.414,3.249,12.382,null
120,24202,0.363,3.103,13.057,null
121,24402,0.363,3.103,13.057,null
122,24601,0.439,3.588,13.057,null
123,24802,0.439,3.927,13.057,null
124,25002,0.439,3.927,13.057,null
125,25201,0.439,3.927,13.057,null
126,25401,0.420,3.611,11.589,null
127,25602,0.420,3.611,11.589,null
128,25802,0.420,3.611,11.589,null
129,26001,0.331,3.289,12.383,null
130,26202,0.331,3.289,12.383,null
131,26401,0.331,3.289,12.383,null
132,26601,0.407,3.663,13.414,null
133,26802,0.407,3.663,13.414,null
134,27001,0.407,3.663,13.414,null
135,27201,0.407,3.415,11.842,null
136,27401,0.404,3.146,11.842,null
137,27602,0.404,3.146,11.842,null
138,27802,0.404,2.946,11.842,null
139,28001,0.356,2.795,12.680,null
140,28202,0.356,2.795,12.680,null
141,28402,0.356,2.795,12.680,null
142,28602,0.432,3.505,13.307,null
143,28802,0.432,3.505,13.307,null
144,29002,0.432,3.505,13.307,null
145,29202,0.423,3.505,12.088,null
146,29401,0.423,3.505,12.088,null
147,29601,0.423,3.505,12.088,null
148,29801,0.370,2.996,12.174,null
149,30001,0.370,2.996,12.174,null
150,30201,0.370,2.996,12.174,null
151,30402,0.446,2.996,12.174,null
152,30602,0.446,2.996,13.594,null
153,30801,0.446,2.996,13.594,null
154,31001,0.446,2.984,13.594,null
155,31202,0.446,2.984,12.632,null
156,31401,0.446,2.984,12.632,null
157,31602,0.446,2.984,12.632,null
158,31802,0.386,2.824,12.571,null
159,32002,0.386,2.824,12.571,null
160,32202,0.386,2.824,12.571,null
161,32401,0.460,3.328,13.576,null
162,32601,0.460,3.328,13.576,null
163,32801,0.460,3.328,13.576,null
164,33000,0.433,3.163,12.283,null
165,33201,0.433,3.163,11.338,null
166,33401,0.433,3.163,11.338,null
167,33600,0.377,2.959,11.529,null
168,33801,0.337,2.959,11.529,null
169,34001,0.337,2.959,11.529,null
170,34201,0.337,3.366,11.529,null
171,34401,0.414,3.366,13.015,null
172,34601,0.414,3.366,13.015,null
173,34801,0.414,3.366,13.015,null
174,35001,0.409,3.192,11.559,null
175,35202,0.409,3.192,11.559,null
176,35401,0.409,3.192,11.559,null
177,35601,0.360,2.821,12.029,null
178,35801,0.360,2.821,12.029,null
179,36001,0.360,2.821,12.029,null
180,36201,0.436,3.619,14.343,null
181,36402,0.436,3.619,14.343,null
182,36602,0.436,3.619,14.343,null
183,36801,0.426,3.619,14.343,null
184,37002,0.418,3.471,14.343,null
185,37202,0.418,3.471,14.343,null
186,37401,0.366,3.187,14.343,null
187,37601,0.366,2.977,14.343,null
188,37801,0.366,2.977,14.343,null
189,38001,0.366,2.977,14.343,null
190,38201,0.514,3.382,14.343,null
191,38402,0.514,3.382,14.343,null
192,38602,0.514,3.382,14.343,null
193,38802,0.465,3.382,12.835,null
194,39002,0.465,3.382,12.835,null
195,39201,0.465,3.382,12.835,null
196,39400,0.399,3.122,12.835,null
197,39602,0.399,3.122,12.835,null
198,39801,0.399,3.122,12.835,null
199,40001,0.473,3.513,14.568,null
200,40202,0.542,3.513,14.568,null
201,40401,0.542,3.513,14.568,null
202,40601,0.542,3.513,12.314,null
203,40802,0.507,3.144,10.764,null
204,41001,0.507,3.144,10.764,null
205,41201,0.428,3.144,10.764,null
206,41401,0.373,2.944,10.764,null
207,41601,0.373,2.944,10.764,null
208,41801,0.373,2.944,10.764,null
209,42001,0.373,3.441,14.328,null
210,42203,0.373,3.441,14.328,null
211,42402,0.373,3.441,14.328,null
212,42601,0.376,3.249,14.328,null
213,42802,0.376,3.249,14.328,null
214,43001,0.376,3.249,14.328,null
215,43201,0.337,3.023,14.328,null
216,43401,0.337,2.853,14.328,null
217,43602,0.337,2.853,14.328,null
218,43802,0.337,3.269,15.486,null
219,44002,0.337,3.645,15.486,null
220,44202,0.337,3.645,15.486,null
221,44402,0.337,3.645,15.486,null
222,44602,0.355,3.402,13.284,null
223,44802,0.355,3.402,13.284,null
224,45002,0.355,3.402,13.284,null
225,45202,0.321,3.136,13.445,null
226,45401,0.321,3.136,13.445,null
227,45602,0.321,3.136,13.445,null
228,45801,0.398,3.526,14.327,null
229,46002,0.398,3.526,14.282,null
230,46202,0.398,3.526,14.282,null
231,46401,0.396,3.313,12.791,null
232,46602,0.395,3.313,12.791,null
233,46801,0.395,3.313,12.791,null
234,47002,0.395,3.313,12.698,null
235,47202,0.350,3.070,12.698,null
236,47401,0.350,3.070,12.698,null
237,47602,0.350,3.070,12.698,null
238,47802,0.426,3.558,15.243,null
239,48002,0.426,3.558,15.243,null
240,48201,0.426,3.558,15.243,null
241,48401,0.418,3.186,13.117,null
242,48601,0.418,3.186,13.117,null
243,48802,0.418,3.186,13.117,null
244,49001,0.366,2.976,12.956,null
245,49202,0.366,2.976,12.956,null
246,49401,0.366,2.976,12.956,null
247,49601,0.442,3.381,12.956,null
248,49802,0.514,3.381,14.288,null
249,50001,0.514,3.381,14.288,null
250,50201,0.486,3.203,12.795,null
251,50402,0.486,3.068,11.714,null
252,50602,0.486,3.068,11.714,null
253,50802,0.486,3.068,11.714,null
254,51001,0.413,2.887,12.158,null
255,51202,0.413,2.887,12.158,null
256,51401,0.413,2.887,12.158,null
257,51602,0.555,3.300,13.219,null
258,51802,0.555,3.300,13.219,null
259,52001,0.555,3.300,13.219,null
260,52200,0.517,3.061,11.704,null
261,52401,0.517,3.061,11.704,null
262,52602,0.517,3.061,11.704,null
263,52801,0.517,2.882,12.149,null
264,53002,0.434,2.882,12.149,null
265,53201,0.434,2.882,12.149,null
266,53400,0.434,3.383,12.149,null
267,53602,0.506,3.746,13.572,null
268,53802,0.506,3.746,13.572,null
269,54001,0.506,3.746,13.572,null
270,54202,0.480,3.477,11.953,null
271,54402,0.480,3.477,11.953,null
272,54602,0.480,3.477,11.953,null
273,54801,0.409,2.980,12.356,null
274,55002,0.409,2.980,12.356,null
275,55202,0.409,2.980,12.356,null
276,55401,0.409,3.474,14.990,null
277,55602,0.409,3.474,14.990,null
278,55801,0.409,3.474,14.990,null
279,56001,0.409,3.274,13.296,null
280,56201,0.405,3.122,11.758,null
281,56401,0.405,3.122,11.758,null
282,56601,0.357,2.928,11.758,null
283,56802,0.357,2.928,11.758,null
284,57002,0.357,2.928,11.758,null
285,57203,0.357,2.928,11.758,null
286,57401,0.433,3.425,12.870,null
287,57601,0.433,3.425,12.870,null
288,57802,0.433,3.425,12.870,null
289,58002,0.424,3.154,12.870,null
290,58202,0.424,3.154,12.870,null
291,58402,0.424,3.154,12.870,null
292,58601,0.371,2.952,12.870,null
293,58801,0.371,2.952,12.870,null
294,59002,0.371,2.952,12.870,null
295,59201,0.446,3.359,13.834,null
296,59401,0.518,3.359,13.834,null
297,59601,0.518,3.359,13.834,null
298,59801,0.518,3.187,13.834,null
299,60001,0.489,3.187,12.138,null
300,60202,0.489,3.187,12.138,null
301,60401,0.489,3.187,12.138,null
302,60601,0.415,2.818,12.508,null
303,60801,0.415,2.818,12.508,null
304,61001,0.415,2.818,12.508,null
305,61201,0.489,3.237,14.393,null
306,61401,0.489,3.237,14.393,null
307,61601,0.489,3.237,14.393,null
308,61802,0.467,2.983,14.393,null
309,62001,0.467,2.983,14.393,null
