rssi,rssiKarman,distance
-70,-70.000,3.813
-74,-70.800,4.232
-83,-73.240,5.814
-71,-72.792,5.484
-75,-73.234,5.809
-71,-72.787,5.481
-75,-73.230,5.806
-83,-75.184,7.487
-71,-74.347,6.715
-71,-73.678,6.154
-76,-74.142,6.538
-77,-74.714,7.043
-71,-73.971,6.394
-74,-73.977,6.399
-76,-74.381,6.745
-71,-73.705,6.176
-74,-73.764,6.224
-71,-73.211,5.792
-71,-72.769,5.468
-77,-73.615,6.105
-86,-76.092,8.427
-71,-75.074,7.381
-71,-74.259,6.638
-76,-74.607,6.946
-84,-76.486,8.870
-84,-77.989,10.786
-71,-76.591,8.992
-71,-75.473,7.774
-74,-75.178,7.482
-76,-75.343,7.644
-85,-77.274,9.828
-71,-76.019,8.347
-74,-75.615,7.920
-74,-75.292,7.594
-84,-77.034,9.526
-83,-78.227,11.126
-71,-76.782,9.218
-71,-75.625,7.930
-75,-75.500,7.802
-74,-75.200,7.503
-80,-76.160,8.502
-71,-75.128,7.433
-75,-75.103,7.408
-82,-76.482,8.866
-71,-75.386,7.687
-74,-75.108,7.414
-76,-75.287,7.588
-82,-76.629,9.037
-78,-76.904,9.366
-71,-75.723,8.031
-72,-74.978,7.290
-73,-74.583,6.924
-73,-74.266,6.644
-83,-76.013,8.340
-71,-75.010,7.320
-74,-74.808,7.130
-71,-74.047,6.457
-71,-73.437,5.965
-74,-73.550,6.053
-74,-73.640,6.124
-71,-73.112,5.717
-74,-73.290,5.851
-71,-72.832,5.513
-74,-73.065,5.683
-71,-72.652,5.385
-74,-72.922,5.578
-85,-75.337,7.639
-89,-78.070,10.901
-71,-76.656,9.069
-74,-76.125,8.463
-86,-78.100,10.944
-86,-79.680,13.443
-71,-77.944,10.724
-71,-76.555,8.950
-74,-76.044,8.374
-84,-77.635,10.302
-71,-76.308,8.667
-74,-75.847,8.162
-71,-74.877,7.194
-74,-74.702,7.032
-84,-76.561,8.958
-71,-75.449,7.750
-75,-75.359,7.660
-84,-77.087,9.593
-71,-75.870,8.187
-71,-74.896,7.212
-75,-74.917,7.232
-80,-75.933,8.255
-82,-77.147,9.667
-72,-76.117,8.455
-73,-75.494,7.796
-80,-76.395,8.766
-71,-75.316,7.617
-75,-75.253,7.555
-72,-74.602,6.941
-75,-74.682,7.014
-85,-76.745,9.175
-72,-75.796,8.109
-71,-74.837,7.157
-71,-74.070,6.477
-71,-73.456,5.979
-75,-73.765,6.224
-85,-76.012,8.339
-71,-75.009,7.319
-75,-75.007,7.317
-71,-74.206,6.592
-77,-74.765,7.090
-77,-75.212,7.515
-85,-77.169,9.696
-72,-76.136,8.475
-75,-75.908,8.228
-76,-75.927,8.248
-84,-77.541,10.176
-71,-76.233,8.583
-71,-75.187,7.490
-77,-75.549,7.852
-86,-77.639,10.307
-71,-76.311,8.671
-74,-75.849,8.165
-82,-77.079,9.582
-71,-75.863,8.180
-78,-76.291,8.648
-76,-76.233,8.583
-83,-77.586,10.236
-72,-76.469,8.851
-75,-76.175,8.518
-82,-77.340,9.913
-71,-76.072,8.405
-75,-75.858,8.174
-76,-75.886,8.204
-85,-77.709,10.401
-72,-76.567,8.964
avg(rssi),avg(rssiKalman),avg(distance)
-75.54545454545455,-75.34644696969694,7.79609090909091
stdev(rssi),stdev(rssiKalman),stdev(distance)
5.0005509338345195,1.5230980902891103,1.5169406235485625
