tick,time,Beacon #1,Beacon #2,Beacon #3
0,202,4.710,null,null
1,401,4.710,null,null
2,601,4.710,2.266,null
3,802,3.904,2.387,3.976
4,1002,3.904,2.387,3.976
5,1202,3.904,2.387,3.976
6,1403,3.904,2.488,3.581
7,1602,3.904,2.488,3.581
8,1803,3.904,2.488,3.581
9,2003,3.822,2.781,4.653
10,2203,3.822,2.781,4.653
11,2402,3.822,2.781,4.653
12,2602,3.822,2.781,4.653
13,2803,3.822,2.781,4.558
14,3002,3.822,2.781,4.558
15,3202,3.822,2.781,4.248
16,3403,3.822,2.740,4.015
17,3602,3.822,2.740,4.015
18,3802,3.822,2.740,4.015
19,4002,3.863,3.004,4.511
20,4202,3.863,3.004,4.511
21,4402,3.863,3.004,4.511
22,4602,3.863,2.771,4.568
23,4802,3.863,2.771,4.568
24,5002,3.863,2.771,4.568
25,5202,4.262,2.804,4.372
26,5402,3.982,2.804,4.372
27,5602,3.982,2.804,4.372
28,5802,3.982,2.804,4.961
29,6003,4.497,2.804,4.961
30,6203,4.497,2.804,4.961
31,6403,4.497,2.804,4.961
32,6602,4.539,2.758,4.929
33,6803,4.539,2.758,4.929
34,7001,4.312,2.758,4.929
35,7203,4.389,2.793,4.522
36,7403,4.389,2.793,4.522
37,7603,4.389,2.793,4.522
38,7802,4.389,3.060,5.097
39,8002,4.389,3.060,5.097
40,8203,4.389,3.060,5.097
41,8402,4.196,2.957,4.882
42,8603,4.196,2.957,4.882
43,8802,4.196,2.957,4.882
44,9002,4.196,2.954,4.882
45,9204,4.689,2.875,4.611
46,9403,4.689,2.875,4.611
47,9602,4.833,2.964,5.177
48,9803,4.833,3.037,5.177
49,10003,4.833,3.037,5.177
50,10203,4.833,3.037,5.177
51,10402,4.833,2.864,4.964
52,10602,4.833,2.864,4.964
53,10802,4.833,2.864,4.964
54,11002,5.251,2.891,4.672
55,11203,5.251,2.891,4.672
56,11402,5.251,2.891,4.672
57,11602,5.611,3.194,5.093
58,11802,5.611,3.194,5.093
59,12001,5.611,3.194,5.093
60,12201,5.418,3.061,5.033
61,12402,5.418,2.958,5.033
62,12602,5.418,2.958,5.033
63,12803,5.268,2.958,5.033
64,13002,5.463,2.878,5.033
65,13203,5.463,2.878,5.033
66,13402,5.463,2.878,5.033
67,13602,4.855,2.878,5.033
68,13803,4.855,2.878,5.033
69,14003,4.855,2.878,5.033
70,14202,4.291,2.744,4.689
71,14403,4.291,2.744,4.689
72,14602,4.291,2.744,4.689
73,14803,4.636,2.744,4.345
74,15003,4.636,2.744,4.345
75,15202,4.636,2.744,4.345
76,15402,4.636,2.744,4.345
77,15602,4.636,2.930,4.937
78,15802,4.636,2.930,4.937
79,16002,4.636,2.930,4.910
80,16202,4.651,2.857,4.888
81,16402,4.651,2.857,4.888
82,16602,4.651,2.857,4.888
83,16803,4.802,2.873,4.313
84,17002,4.802,2.873,4.313
85,17202,4.802,2.873,4.313
86,17402,5.072,3.334,4.908
87,17603,5.072,3.334,4.908
88,17802,5.072,3.334,4.908
89,18002,5.788,3.334,5.020
90,18203,5.394,3.334,5.020
91,18403,5.394,3.334,5.020
92,18602,4.807,3.167,4.589
93,18803,4.807,3.167,4.271
94,19002,4.807,3.167,4.271
95,19202,4.649,3.167,4.271
96,19402,4.661,3.203,5.003
97,19603,4.661,3.203,5.003
98,19802,4.661,3.203,5.003
99,20003,4.762,3.203,5.097
100,20203,4.762,3.203,5.097
101,20402,4.762,3.203,5.097
102,20605,4.762,3.148,4.772
103,20802,4.762,3.148,4.772
104,21002,4.762,3.148,4.772
105,21202,4.447,3.148,4.772
106,21403,4.447,3.271,5.467
107,21602,4.447,3.271,5.467
108,21801,4.119,3.039,5.185
109,22003,4.119,2.866,4.970
110,22202,4.119,2.866,4.970
111,22402,4.119,2.880,4.970
112,22603,4.109,2.818,4.553
113,22802,4.109,2.818,4.553
114,23002,4.109,2.818,4.553
115,23202,3.755,3.073,4.553
116,23402,3.755,3.073,4.553
117,23602,3.755,3.073,4.553
118,23802,3.598,2.753,4.479
119,24002,3.598,2.753,4.479
120,24203,3.598,2.753,4.479
121,24402,3.687,2.753,4.189
122,24602,3.687,2.753,4.189
123,24803,3.687,2.753,4.189
124,25002,3.443,2.753,4.189
125,25203,3.443,2.939,4.926
126,25403,3.443,2.939,4.926
127,25602,3.457,2.939,4.926
128,25802,3.468,2.939,4.770
129,26003,3.468,2.939,4.770
130,26202,3.468,2.939,4.770
131,26402,3.580,2.863,4.405
132,26602,3.580,2.863,4.405
133,26803,3.580,2.863,4.405
134,27002,3.199,3.032,5.268
135,27203,3.199,3.032,5.268
136,27403,3.199,3.032,5.268
137,27602,3.165,3.032,5.034
138,27802,3.165,3.032,5.034
139,28003,3.165,3.032,5.034
140,28202,3.047,2.936,4.599
141,28402,2.956,2.861,4.279
142,28602,2.956,2.861,4.279
143,28801,2.721,3.030,5.010
144,29003,2.622,3.173,5.684
145,29203,2.622,3.173,5.684
146,29402,2.622,3.173,5.684
147,29603,2.700,2.966,5.349
148,29803,2.700,2.966,5.349
149,30003,2.700,2.966,5.349
150,30202,2.930,2.880,4.828
151,30403,2.930,2.880,4.828
152,30603,2.930,2.880,4.828
153,30802,2.930,3.047,5.518
154,31003,2.930,3.047,5.518
155,31203,2.930,3.047,5.518
156,31402,2.865,3.047,5.224
157,31602,2.865,2.871,5.224
158,31802,2.865,2.871,5.224
159,32002,2.865,2.871,5.224
160,32203,2.814,2.871,5.224
