rssi,rssiKarman,distance
-66,-66.000,2.266
-68,-66.400,2.387
-68,-66.720,2.488
-71,-67.576,2.781
-67,-67.461,2.740
-71,-68.169,3.004
-67,-67.935,2.914
-66,-67.548,2.771
-68,-67.638,2.804
-67,-67.511,2.758
-68,-67.609,2.793
-69,-67.887,2.896
-70,-68.309,3.060
-67,-68.048,2.957
-68,-68.038,2.954
-67,-67.830,2.875
-69,-68.064,2.964
-69,-68.251,3.037
-66,-67.801,2.864
-68,-67.841,2.879
-68,-67.873,2.891
-70,-68.298,3.056
-70,-68.639,3.194
-67,-68.311,3.061
-67,-68.049,2.958
-67,-67.839,2.878
-66,-67.471,2.744
-70,-67.977,2.930
-67,-67.782,2.857
-68,-67.825,2.873
-71,-68.460,3.121
-71,-68.968,3.334
-67,-68.575,3.167
-69,-68.660,3.203
-68,-68.528,3.148
-70,-68.822,3.271
-66,-68.258,3.039
-66,-67.806,2.866
-68,-67.845,2.880
-67,-67.676,2.818
-71,-68.341,3.073
-66,-67.873,2.891
-66,-67.498,2.753
-70,-67.998,2.939
-67,-67.799,2.863
-70,-68.239,3.032
-67,-67.991,2.936
-67,-67.793,2.861
-70,-68.234,3.030
-70,-68.588,3.173
-66,-68.070,2.966
-68,-68.056,2.961
-67,-67.845,2.880
-70,-68.276,3.047
-66,-67.821,2.871
-70,-68.257,3.039
-66,-67.805,2.866
-67,-67.644,2.806
-71,-68.315,3.062
-66,-67.852,2.883
-68,-67.882,2.894
-70,-68.305,3.058
-67,-68.044,2.956
-66,-67.635,2.803
-67,-67.508,2.757
-69,-67.807,2.866
-69,-68.045,2.957
-66,-67.636,2.803
-66,-67.309,2.686
-67,-67.247,2.665
-70,-67.798,2.863
-70,-68.238,3.032
-66,-67.791,2.860
-68,-67.832,2.876
-70,-68.266,3.043
-67,-68.013,2.944
-68,-68.010,2.943
-68,-68.008,2.942
-69,-68.207,3.019
-69,-68.365,3.082
-67,-68.092,2.975
-67,-67.874,2.891
-68,-67.899,2.901
-67,-67.719,2.834
-71,-68.375,3.086
-67,-68.100,2.978
-66,-67.680,2.819
-68,-67.744,2.843
-69,-67.995,2.937
-69,-68.196,3.015
-66,-67.757,2.848
-67,-67.606,2.792
-70,-68.084,2.972
-66,-67.668,2.815
-67,-67.534,2.766
