rssi,rssiKarman,distance
-70,-70.000,6.394
-62,-68.400,5.329
-62,-67.120,4.606
-68,-67.296,4.699
-61,-66.037,4.071
-62,-65.229,3.713
-66,-65.384,3.779
-67,-65.707,3.921
-61,-64.765,3.522
-61,-64.012,3.232
-62,-63.610,3.087
-66,-64.088,3.260
-66,-64.470,3.405
-61,-63.776,3.147
-62,-63.421,3.022
-65,-63.737,3.132
-61,-63.189,2.943
-61,-62.752,2.800
-67,-63.601,3.084
-61,-63.081,2.907
-61,-62.665,2.772
-62,-62.532,2.731
-67,-63.425,3.023
-68,-64.340,3.355
-61,-63.672,3.110
-61,-63.138,2.926
-61,-62.710,2.787
-66,-63.368,3.004
-67,-64.095,3.263
-66,-64.476,3.408
-60,-63.581,3.077
-68,-64.464,3.403
-60,-63.572,3.074
-60,-62.857,2.834
-61,-62.486,2.716
-65,-62.989,2.876
-67,-63.791,3.152
-61,-63.233,2.958
-62,-62.986,2.876
-61,-62.589,2.748
-65,-63.071,2.904
-60,-62.457,2.707
-61,-62.166,2.619
-67,-63.132,2.924
-60,-62.506,2.723
-61,-62.205,2.631
-61,-61.964,2.559
-66,-62.771,2.806
-67,-63.617,3.090
-60,-62.893,2.845
-61,-62.515,2.725
-68,-63.612,3.088
-60,-62.889,2.844
-61,-62.512,2.724
-67,-63.409,3.018
-60,-62.727,2.792
-61,-62.382,2.684
-62,-62.306,2.661
-65,-62.844,2.830
-65,-63.276,2.972
-60,-62.620,2.758
-61,-62.296,2.658
-62,-62.237,2.640
-62,-62.190,2.626
-68,-63.352,2.998
-67,-64.081,3.258
-61,-63.465,3.037
-62,-63.172,2.937
-66,-63.738,3.133
-60,-62.990,2.877
-62,-62.792,2.813
-66,-63.434,3.026
-61,-62.947,2.863
-62,-62.758,2.802
-62,-62.606,2.754
-67,-63.485,3.044
-61,-62.988,2.876
-60,-62.390,2.687
-62,-62.312,2.663
-66,-63.050,2.897
-60,-62.440,2.702
-62,-62.352,2.675
-67,-63.281,2.974
-62,-63.025,2.889
-62,-62.820,2.822
-65,-63.256,2.966
-67,-64.005,3.230
-60,-63.204,2.948
-62,-62.963,2.868
-67,-63.771,3.144
-60,-63.016,2.886
-62,-62.813,2.820
-60,-62.251,2.644
-62,-62.200,2.629
-68,-63.360,3.001
-66,-63.888,3.187
-60,-63.111,2.917
-62,-62.888,2.844
-62,-62.711,2.787
-66,-63.369,3.004
-66,-63.895,3.189
-64,-63.916,3.197
-68,-64.733,3.509
-62,-64.186,3.297
avg(rssi),avg(rssiKalman),avg(distance)
-63.22115384615385,-63.4447596153846,3.0650769230769246
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.8146482591054256,1.2486712514262173,0.5371718084329706
