locX,locY
0.000,2.000
0.010,3.000
-0.714,3.690
-1.431,4.386
-2.125,5.107
-2.777,5.865
-3.423,6.628
-4.044,7.412
-4.720,8.149
-5.247,8.999
-4.274,9.228
-3.320,9.526
-2.379,9.865
-1.412,10.120
-0.461,10.430
0.491,10.737
1.480,10.886
1.326,9.898
1.123,8.918
0.918,7.940
0.721,6.959
0.501,5.984
0.289,5.006
0.124,4.020
-0.082,3.042
-0.350,2.078
0.306,1.323
1.295,1.470
2.255,1.749
3.188,2.110
4.114,2.487
5.079,2.748
6.061,2.936
7.047,3.103
8.028,3.297
9.021,3.418
