accX,accY,accZ,angleX,angleY,angleZ,label
-0.024110258,0.030400515,-0.13421345,-0.04016439,-0.019547688,-0.015577064,stop
-0.024110258,0.030400515,-0.13421345,-0.04016439,-0.019547688,-0.015577064,stop
-0.10722935,-0.04629326,0.09624767,-0.0786489,0.0018325958,-0.016187929,stop
-0.10722935,-0.04629326,0.09624767,-0.0786489,0.0018325958,-0.016187929,stop
-0.14229867,-0.017106533,0.20259953,-0.084146686,0.028710667,0.0027488936,stop
-0.14229867,-0.017106533,0.20259953,-0.04810564,0.007330383,0.019242255,stop
-0.08804202,-0.010358334,0.24953938,-0.04810564,0.007330383,0.019242255,stop
-0.08804202,-0.010358334,0.24953938,-0.04810564,0.007330383,0.019242255,stop
0.04232359,0.09633136,0.09363556,-0.00290161,-0.0061086523,0.027183503,stop
0.04232359,0.09633136,0.09363556,-0.00290161,-0.0061086523,0.027183503,stop
0.13629216,0.09405279,-0.038188934,-0.024281893,0.028710667,0.022296581,stop
0.13629216,0.09405279,-0.038188934,-0.024281893,0.028710667,0.022296581,stop
-0.0028082728,0.07905984,0.090826035,-0.0627664,0.031154128,-0.006414085,stop
-0.0028082728,0.07905984,0.090826035,-0.0627664,0.031154128,-0.006414085,stop
-0.030811459,0.007468939,0.17705727,-0.07192938,0.027488936,-0.0033597588,stop
-0.030811459,0.007468939,0.17705727,-0.07192938,0.027488936,-0.0033597588,stop
0.0044962466,0.014249086,0.35197163,-0.037110064,0.022602014,0.009468411,stop
0.0044962466,0.014249086,0.35197163,0.02031127,0.02443461,0.0076358155,stop
-0.008279204,0.018312931,0.36610126,0.02031127,0.02443461,0.0076358155,stop
-0.008279204,0.018312931,0.36610126,0.02031127,0.02443461,0.0076358155,stop
-0.07773095,0.017830372,0.1016798,0.06490443,0.0036651916,0.01740966,stop
-0.07773095,0.017830372,0.1016798,0.06490443,0.0036651916,0.01740966,stop
0.011586249,-0.0014178753,-0.05613613,0.061239243,-0.0061086523,0.03390302,stop
0.011586249,-0.0014178753,-0.05613613,0.016035212,0.009162978,0.032070424,stop
0.056325853,-0.003951788,-0.1048727,0.016035212,0.009162978,0.032070424,stop
0.056325853,-0.003951788,-0.1048727,-0.029168816,0.035430185,0.03390302,stop
0.095078915,2.1648407E-4,0.051036835,-0.029168816,0.035430185,0.03390302,stop
0.095078915,2.1648407E-4,0.051036835,-0.029168816,0.035430185,0.03390302,stop
0.095078915,2.1648407E-4,0.051036835,-0.029168816,0.035430185,0.03390302,stop
0.12023884,0.012550116,0.29565525,-0.008399397,0.02321288,0.021685716,stop
0.12023884,0.012550116,0.29565525,0.06429356,0.018325957,0.0125227375,stop
0.11867142,-0.018220425,-0.038497925,0.06429356,0.018325957,0.0125227375,stop
0.020568848,-0.05726385,-0.2964754,0.06612616,-0.015271631,0.0070249503,stop
0.020568848,-0.05726385,-0.2964754,0.06612616,-0.015271631,0.0070249503,stop
0.015547931,-0.04287386,-0.34762478,0.004428773,0.0018325958,0.011911872,stop
0.015547931,-0.04287386,-0.34762478,0.004428773,0.0018325958,0.011911872,stop
0.015547931,-0.04287386,-0.34762478,-0.06093381,0.015882496,0.008857546,stop
0.09722865,-0.038173676,-0.16902542,-0.06093381,0.015882496,0.008857546,stop
0.1054441,-0.008848906,0.24707603,-0.0804815,-0.009162978,-0.005192355,stop
0.1054441,-0.008848906,0.24707603,-0.0804815,-0.009162978,-0.005192355,stop
0.1054441,-0.008848906,0.24707603,-0.03894266,-0.008552114,-0.013744468,stop
0.0036965013,-0.022062778,0.4282112,-0.03894266,-0.008552114,-0.013744468,stop
-0.023157805,-0.036378145,0.27770424,0.0154243475,0.007330383,-0.0021380284,stop
-0.023157805,-0.036378145,0.27770424,0.03924809,0.004276057,0.008246681,stop
0.05257535,1.2135506E-4,0.06886673,0.03924809,0.004276057,0.008246681,stop
0.05257535,1.2135506E-4,0.06886673,0.03924809,0.004276057,0.008246681,stop
0.040036112,-0.025784254,-0.059993744,0.029474247,-0.007330383,0.0033597588,stop
0.040036112,-0.025784254,-0.059993744,0.029474247,-0.007330383,0.0033597588,stop
0.089811206,0.005897999,-0.08456707,7.6358154E-4,0.014660766,3.0543262E-4,stop
0.089811206,0.005897999,-0.08456707,7.6358154E-4,0.014660766,3.0543262E-4,stop
6.9856644E-5,0.0072689056,-0.0011529922,-0.012064588,0.028099801,-0.009468411,stop
6.9856644E-5,0.0072689056,-0.0011529922,-0.012064588,0.028099801,-0.009468411,stop
0.023564935,0.013600826,-0.068608284,0.001985312,-0.007330383,-0.0027488936,stop
0.023564935,0.013600826,-0.068608284,0.001985312,-0.007330383,-0.0027488936,stop
0.07830271,0.02234745,0.022574425,0.00870483,-0.029932396,-0.0033597588,stop
0.07830271,0.02234745,0.022574425,0.00870483,-0.029932396,-0.0033597588,stop
0.0645192,0.02357912,0.018050194,-0.0022907446,-6.1086525E-4,-0.006414085,stop
0.0645192,0.02357912,0.018050194,-0.0022907446,-6.1086525E-4,-0.006414085,stop
0.0645192,0.02357912,0.018050194,-0.021227567,0.021991149,-0.008246681,stop
-0.034507126,0.021174908,-0.07070732,-0.021227567,0.021991149,-0.008246681,stop
0.0024034977,0.06508589,0.019853592,-0.047494773,0.012217305,-0.0033597588,stop
0.0024034977,0.06508589,0.019853592,-0.047494773,0.012217305,-0.0033597588,stop
8.713603E-4,0.067221165,0.018868446,-0.03772093,0.0012217305,-0.0076358155,stop
