locX,locY
-0.058,0.998
-0.154,1.994
-0.247,2.989
-0.310,3.987
-0.248,4.985
-0.285,5.985
-0.302,6.985
0.291,6.180
0.923,5.405
1.538,4.616
2.159,3.832
2.807,3.071
3.429,2.287
4.131,1.575
3.238,2.026
2.345,2.476
1.458,2.938
0.569,3.395
-0.313,3.866
-1.168,4.386
-2.060,4.837
-1.065,4.736
-0.073,4.610
0.920,4.493
1.916,4.404
2.913,4.328
3.902,4.180
4.902,4.159
5.902,4.153
6.898,4.070
