rssi,rssiKarman,distance
-62,-62.000,1.346
-67,-63.000,1.533
-68,-64.000,1.746
-61,-63.400,1.615
-68,-64.320,1.821
-63,-64.056,1.759
-62,-63.645,1.667
-61,-63.116,1.556
-67,-63.893,1.722
-68,-64.714,1.916
-63,-64.371,1.833
-62,-63.897,1.723
-62,-63.518,1.640
-67,-64.214,1.796
-63,-63.971,1.740
-62,-63.577,1.653
-67,-64.262,1.807
-63,-64.009,1.748
-62,-63.607,1.659
-67,-64.286,1.813
-68,-65.029,1.996
-63,-64.623,1.894
-62,-64.098,1.769
-62,-63.679,1.675
-62,-63.343,1.603
-65,-63.674,1.674
-63,-63.540,1.645
-61,-63.032,1.539
-62,-62.825,1.499
-65,-63.260,1.586
-62,-63.008,1.535
-65,-63.407,1.616
-63,-63.325,1.599
-62,-63.060,1.545
-67,-63.848,1.712
-65,-64.079,1.764
-62,-63.663,1.671
-63,-63.530,1.643
-62,-63.224,1.579
-65,-63.579,1.653
-63,-63.463,1.628
-62,-63.171,1.568
-62,-62.937,1.521
-62,-62.749,1.484
-61,-62.399,1.418
-63,-62.520,1.440
-63,-62.616,1.458
-61,-62.293,1.398
-62,-62.234,1.388
-67,-63.187,1.571
-62,-62.950,1.523
-61,-62.560,1.448
-62,-62.448,1.427
-65,-62.958,1.525
-68,-63.967,1.739
-68,-64.773,1.931
-63,-64.419,1.844
-63,-64.135,1.777
-61,-63.508,1.638
-62,-63.206,1.575
-65,-63.565,1.650
-68,-64.452,1.852
-63,-64.162,1.783
-63,-63.929,1.730
-61,-63.343,1.603
-63,-63.275,1.589
-62,-63.020,1.537
-66,-63.616,1.661
-65,-63.893,1.722
-63,-63.714,1.682
-63,-63.571,1.652
-62,-63.257,1.585
-65,-63.606,1.659
-67,-64.285,1.812
-63,-64.028,1.753
-62,-63.622,1.662
-67,-64.298,1.815
-63,-64.038,1.755
-63,-63.831,1.708
-63,-63.664,1.672
-62,-63.332,1.601
-67,-64.065,1.761
-65,-64.252,1.805
-63,-64.002,1.747
-61,-63.401,1.615
-63,-63.321,1.599
-62,-63.057,1.545
-65,-63.446,1.625
-64,-63.556,1.648
-63,-63.445,1.625
-62,-63.156,1.565
-61,-62.725,1.479
-63,-62.780,1.490
-61,-62.424,1.422
-67,-63.339,1.602
-62,-63.071,1.547
-67,-63.857,1.714
-62,-63.486,1.633
-62,-63.189,1.571
-61,-62.751,1.484
-65,-63.201,1.574
-63,-63.161,1.566
-61,-62.728,1.480
-62,-62.583,1.452
-62,-62.466,1.430
-61,-62.173,1.377
-67,-63.138,1.561
-63,-63.111,1.555
-67,-63.889,1.721
-67,-64.511,1.866
-63,-64.209,1.794
-62,-63.767,1.694
-63,-63.614,1.661
-62,-63.291,1.592
-63,-63.233,1.580
-62,-62.986,1.530
-68,-63.989,1.744
-63,-63.791,1.699
-62,-63.433,1.622
-67,-64.146,1.780
-61,-63.517,1.640
-62,-63.214,1.576
-67,-63.971,1.740
-67,-64.577,1.882
-62,-64.061,1.760
-63,-63.849,1.712
-62,-63.479,1.632
-62,-63.183,1.570
-63,-63.147,1.563
-63,-63.117,1.557
-66,-63.694,1.678
-63,-63.555,1.648
-61,-63.044,1.542
-67,-63.835,1.709
-63,-63.668,1.672
-61,-63.135,1.560
-63,-63.108,1.555
-66,-63.686,1.676
-64,-63.749,1.690
-62,-63.399,1.615
-63,-63.319,1.598
-63,-63.255,1.585
-62,-63.004,1.534
-62,-62.803,1.494
-65,-63.243,1.582
-68,-64.194,1.791
-62,-63.755,1.692
-62,-63.404,1.616
-67,-64.123,1.775
-63,-63.899,1.723
-61,-63.319,1.598
-63,-63.255,1.585
-62,-63.004,1.534
-68,-64.003,1.747
-63,-63.803,1.702
-63,-63.642,1.667
-62,-63.314,1.597
-62,-63.051,1.543
-67,-63.841,1.710
-68,-64.673,1.906
-63,-64.338,1.825
-61,-63.670,1.673
-67,-64.336,1.824
-65,-64.469,1.856
-63,-64.175,1.787
-63,-63.940,1.733
-61,-63.352,1.605
-61,-62.882,1.510
-68,-63.905,1.725
-68,-64.724,1.919
-63,-64.379,1.835
-61,-63.704,1.680
-61,-63.163,1.566
-63,-63.130,1.559
-61,-62.704,1.475
-65,-63.163,1.566
-62,-62.931,1.519
-66,-63.545,1.646
-65,-63.836,1.709
-62,-63.469,1.630
-61,-62.975,1.528
-63,-62.980,1.529
-62,-62.784,1.491
-62,-62.627,1.461
-63,-62.702,1.475
-62,-62.561,1.448
-62,-62.449,1.427
-67,-63.359,1.607
-63,-63.287,1.592
-62,-63.030,1.539
-67,-63.824,1.707
-68,-64.659,1.903
-63,-64.327,1.822
-61,-63.662,1.671
-62,-63.329,1.600
-67,-64.064,1.761
-63,-63.851,1.713
-63,-63.681,1.675
-62,-63.345,1.603
-65,-63.676,1.674
-61,-63.141,1.561
-67,-63.912,1.726
-63,-63.730,1.686
-63,-63.584,1.654
-62,-63.267,1.587
-66,-63.814,1.704
-62,-63.451,1.626
-62,-63.161,1.566
-66,-63.729,1.686
-68,-64.583,1.884
-63,-64.266,1.808
-62,-63.813,1.704
-63,-63.650,1.669
-62,-63.320,1.598
-64,-63.456,1.627
-63,-63.365,1.608
-61,-62.892,1.512
-67,-63.714,1.682
-67,-64.371,1.833
-67,-64.897,1.962
-63,-64.517,1.868
-62,-64.014,1.749
-67,-64.611,1.891
-63,-64.289,1.813
-61,-63.631,1.664
-67,-64.305,1.817
-62,-63.844,1.711
-67,-64.475,1.858
-62,-63.980,1.742
-62,-63.584,1.654
-67,-64.267,1.808
-63,-64.014,1.749
-62,-63.611,1.660
-61,-63.089,1.551
-61,-62.671,1.469
-68,-63.737,1.687
-62,-63.389,1.613
-61,-62.912,1.516
-65,-63.329,1.600
-63,-63.263,1.587
-62,-63.011,1.535
-67,-63.809,1.703
-67,-64.447,1.851
-61,-63.757,1.692
-61,-63.206,1.575
-67,-63.965,1.738
-68,-64.772,1.931
-61,-64.017,1.750
-62,-63.614,1.661
-65,-63.891,1.722
-62,-63.513,1.639
-61,-63.010,1.535
-63,-63.008,1.535
-61,-62.607,1.457
-65,-63.085,1.550
-65,-63.468,1.630
-62,-63.175,1.568
-61,-62.740,1.482
-68,-63.792,1.700
-66,-64.233,1.800
-65,-64.387,1.836
avg(rssi),avg(rssiKalman),avg(distance)
-63.59003831417625,-63.553459770114905,1.652233716475097
stdev(rssi),stdev(rssiKalman),stdev(distance)
2.2430258876418803,0.5729711661103172,0.12339716806078463
