tick,time,Beacon #1,Beacon #2,Beacon #3,Beacon #4
0,202,null,null,null,3.738
1,401,null,null,null,3.738
2,601,null,null,null,3.738
3,803,null,47.754,3.691,3.738
4,1002,null,47.754,3.691,3.738
5,1203,null,47.754,3.691,3.738
6,2874,1.528,45.533,3.372,3.738
7,3883,1.464,53.028,3.501,5.091
8,4911,1.273,45.550,3.326,5.792
9,5914,1.265,74.032,3.335,6.085
10,6782,1.211,60.282,3.157,7.030
11,7521,1.272,63.287,3.257,6.375
12,8243,1.320,63.287,3.257,6.611
13,8965,1.192,63.287,2.976,6.805
14,9702,1.206,65.799,3.297,6.114
15,10445,1.160,94.737,2.888,6.663
16,11177,1.160,90.862,2.888,6.108
17,11917,1.174,83.790,2.885,5.973
18,12642,1.136,83.790,2.811,6.457
19,13365,1.136,73.854,3.044,6.516
20,14101,1.205,73.854,3.085,6.537
21,14834,1.215,73.854,2.966,7.035
22,15564,1.272,70.988,3.126,7.035
23,16292,1.258,70.988,2.997,8.033
24,17023,1.248,65.577,2.997,7.494
25,17755,1.300,61.546,2.972,7.311
26,18472,1.300,61.546,2.879,8.002
27,19194,1.300,58.501,2.879,8.002
28,19900,1.300,58.501,2.879,8.002
29,20619,1.300,58.501,2.879,8.002
30,21331,1.286,59.245,2.877,8.002
31,22050,1.275,59.245,2.805,8.002
32,22778,1.267,65.460,2.963,8.158
33,23479,1.207,65.460,2.945,7.825
34,24176,1.161,65.460,2.945,8.247
35,24872,1.161,70.897,2.945,7.040
36,25576,1.175,75.570,3.081,5.901
37,26281,1.136,68.942,3.115,6.039
38,26985,1.155,73.898,3.223,6.514
39,27678,1.094,74.249,3.229,6.368
40,28371,1.073,74.249,3.076,6.796
41,29078,1.178,78.415,3.285,6.657
42,29793,1.138,74.474,3.198,6.645
43,30497,1.084,74.474,3.052,7.527
44,31194,1.135,82.439,3.171,6.159
45,31892,1.106,78.130,3.109,6.249
46,32605,1.064,78.130,2.984,6.695
47,33301,1.064,78.130,2.984,3.940
48,34004,1.064,74.257,2.888,5.030
49,34702,1.096,78.422,3.033,4.877
50,35408,1.096,78.422,3.112,5.185
51,36114,1.171,78.422,2.986,5.766
52,36821,1.183,71.015,3.195,5.928
53,37526,1.160,65.597,3.128,6.237
54,38215,1.125,65.597,2.999,6.878
55,38923,1.162,71.468,3.151,7.309
56,39624,1.127,76.951,3.094,7.054
57,40317,1.164,76.951,3.048,6.817
58,41012,1.164,76.951,3.048,3.377
59,41714,1.127,69.948,3.012,4.206
60,42406,1.099,64.807,3.137,4.877
61,43091,1.292,52.851,3.160,4.367
62,43783,1.280,52.851,3.054,4.356
63,44476,1.364,49.381,3.125,5.016
64,45173,1.217,38.658,3.073,4.070
65,45874,1.220,38.658,3.109,3.947
66,46573,1.225,40.326,3.060,5.332
67,47278,1.226,44.521,3.021,4.966
68,47980,1.176,44.521,2.991,4.941
69,48691,1.137,36.033,2.967,4.941
70,49395,1.060,30.043,2.875,4.368
71,50091,1.093,33.847,2.828,4.234
72,50782,1.056,32.965,2.837,4.630
73,51473,1.089,32.965,2.916,4.974
74,52165,1.139,35.501,2.981,5.148
75,52865,1.084,41.434,2.959,6.248
76,53566,1.021,41.434,2.869,6.248
77,54279,1.060,42.628,3.303,5.638
78,54978,1.046,52.757,3.212,5.823
79,55677,1.081,65.621,2.949,6.510
80,56377,1.063,61.579,3.163,5.662
81,57078,1.063,61.579,3.163,5.362
82,57778,0.960,55.804,3.262,4.988
83,58467,1.010,75.770,3.179,4.845
84,59161,1.004,87.662,3.115,5.461
85,59849,0.960,74.023,3.482,4.819
86,60546,1.009,63.218,3.435,4.580
87,61235,0.964,79.537,3.221,5.635
88,61927,0.929,55.763,3.383,4.617
89,62624,0.983,56.697,3.274,4.426
90,63322,0.985,56.697,3.046,5.672
91,64016,1.164,63.197,3.087,5.504
92,64713,1.164,49.389,2.967,5.712
93,65408,1.165,59.352,2.967,5.529
94,66101,1.035,54.184,2.967,5.261
95,66796,0.984,58.111,2.875,5.203
96,67483,1.029,61.458,2.875,5.329
97,68172,0.979,61.458,2.875,5.329
98,68861,0.979,61.458,2.803,5.566
99,69558,0.979,61.284,2.958,5.566
100,70266,0.941,53.004,3.016,5.140
101,70957,0.911,57.097,3.016,5.564
102,71648,1.055,60.598,3.062,5.138
103,72341,0.956,52.530,3.062,4.961
104,73037,0.969,65.020,3.008,4.690
105,73735,0.970,55.575,3.056,4.690
106,74431,0.978,51.407,2.988,5.321
107,75122,0.981,47.732,3.176,4.819
108,75816,0.984,47.732,3.205,5.135
109,76509,0.986,47.732,3.135,5.560
110,77205,1.031,73.287,3.178,4.991
111,77902,1.031,64.142,3.178,5.654
112,78611,1.023,64.142,2.929,5.654
113,79314,1.094,69.753,2.992,5.462
114,80021,1.121,67.816,2.968,5.560
115,80735,1.073,76.489,2.948,7.239
116,81439,1.044,76.631,3.007,6.774
117,82136,1.034,76.631,2.906,7.141
118,82843,1.034,76.681,3.104,6.342
119,83552,1.118,54.972,3.056,6.397
120,84271,1.118,54.972,2.944,6.404
121,84975,1.092,63.826,3.004,5.750
122,85684,0.977,63.826,2.883,5.586
123,86395,0.939,69.478,2.684,6.297
124,87106,0.950,77.985,2.736,6.008
125,87816,0.966,75.401,2.716,10.412
126,88515,0.966,75.401,2.716,10.412
127,89230,0.966,75.401,2.716,9.512
128,89938,0.930,75.401,2.678,9.512
129,90640,0.984,75.695,2.785,7.033
130,91347,1.030,75.931,2.733,7.629
131,92052,1.067,75.931,2.782,10.757
132,92762,1.147,75.931,2.944,7.609
133,93471,0.974,72.581,2.781,8.064
134,94178,0.948,73.421,2.729,6.777
135,94889,0.957,67.369,2.822,6.942
136,95598,0.957,67.369,2.762,6.942
137,96302,1.097,69.173,2.854,6.494
138,97024,1.172,58.396,2.858,6.709
139,97732,1.183,58.396,2.790,6.991
140,98436,1.183,71.174,3.164,6.168
141,99136,1.193,75.806,3.103,5.709
142,99838,1.193,75.806,2.885,5.496
143,100535,1.254,73.344,3.365,5.870
144,101243,1.214,73.344,3.038,5.105
145,101949,1.169,52.944,3.159,5.607
146,102664,1.103,62.746,3.023,5.320
147,103386,1.103,62.746,2.837,5.047
148,104092,1.100,68.154,2.981,4.753
149,104800,1.100,66.570,2.959,5.116
150,105507,1.078,68.515,2.941,5.614
151,106209,1.016,63.743,2.941,4.888
152,106915,1.011,60.165,3.002,4.633
153,107604,1.011,47.087,2.955,4.976
